,a,b,c
0,-0.84106445,0.78262329,-5.0
1,-0.86761475,0.88317871,-5.0
2,-0.90316772,0.80108643,-3.5742188
3,-0.92041016,0.74554443,-2.1327209
4,-0.90774536,0.72036743,-1.1813354
5,-1.0133362,0.7824707,-0.54107666
6,-0.94955444,0.69869995,-0.15289307
7,-0.99426269,0.6993103,0.11138916
8,-1.1128235,0.65612793,0.2772522
9,-1.0095215,0.75866699,0.42144775
10,-1.0305786,0.77667236,0.53970337
11,-1.0218811,0.81787109,0.64880371
12,-1.0585022,0.79559326,0.70571899
13,-1.1715698,0.78048706,0.74234009
14,-1.1833191,0.9046936,0.79925537
15,-1.268158,0.84350586,0.80276489
16,-1.2608337,0.81466675,0.81481934
17,-1.2489319,0.8279419,0.8203125
18,-1.2265015,0.8454895,0.83282471
19,-1.2661743,0.76080322,0.81054688
20,-1.3046265,0.7800293,0.78567505
21,-1.3679504,0.71517944,0.74859619
22,-1.368103,0.72387695,0.73013306
23,-1.3664246,0.67565918,0.7144165
24,-1.2884521,0.70739746,0.72647095
25,-1.3873291,0.64636231,0.7069397
26,-1.3517761,0.71121216,0.72982788
27,-1.4398193,0.65856934,0.72143555
28,-1.3734436,0.69458008,0.72860718
29,-1.4697266,0.54840088,0.68328857
30,-1.4685059,0.50567627,0.65338135
31,-1.4811707,0.4675293,0.6048584
32,-1.46698,0.50720215,0.58349609
33,-1.5696716,0.4145813,0.54870606
34,-1.5692139,0.55236816,0.54199219
35,-1.5447998,0.35202026,0.50140381
36,-1.4768982,0.33386231,0.47485352
37,-1.3916016,0.40435791,0.46432495
38,-1.6737366,0.57312012,0.50918579
39,-1.5802002,0.49484253,0.51895142
40,-1.5490723,0.43258667,0.48187256
41,-1.4407349,0.30181885,0.40985107
42,-1.5386963,0.37353516,0.41320801
43,-1.4677429,0.43121338,0.43365478
44,-1.5534973,0.4095459,0.41427612
45,-1.5103149,0.36468506,0.39459228
46,-1.5759277,0.26596069,0.3515625
47,-1.5766907,0.21179199,0.30029297
48,-1.484375,0.10192871,0.24215698
49,-1.4715576,0.12145996,0.20828247
50,-1.4834595,0.099639893,0.17623901
51,-1.481781,0.19073486,0.18981934
52,-1.6265869,0.031738281,0.15441895
53,-1.4619446,0.055236816,0.12405395
54,-1.5589905,-0.19775391,-0.009155273
55,-1.5350342,-0.23071289,-0.064086914
56,-1.5432739,-0.20553589,-0.12176514
57,-1.5786743,-0.16876221,-0.14343262
58,-1.4149475,-0.080871582,-0.13000488
59,-1.4291382,-0.14007568,-0.13031006
60,-1.4497375,-0.23910523,-0.13946533
61,-1.4788818,-0.38986206,-0.21362305
62,-1.4453125,-0.51086426,-0.2861023
63,-1.46698,-0.43029785,-0.33920288
64,-1.5864563,-0.44052124,-0.33340454
65,-1.5490723,-0.49621582,-0.36621094
66,-1.5608215,-0.76080322,-0.46188355
67,-1.4984131,-0.81192017,-0.54229736
68,-1.4935303,-0.73150635,-0.55297852
69,-1.4770508,-0.5154419,-0.46691894
70,-1.4677429,-0.61477661,-0.4649353
71,-1.5504456,-1.1128235,-0.62347412
72,-1.4523315,-1.0273743,-0.71594238
73,-1.3899231,-0.89599609,-0.76278687
74,-1.3619995,-0.76248169,-0.76034546
75,-1.3710022,-0.75683594,-0.69488525
76,-1.3537598,-0.65795898,-0.66009522
77,-1.2628174,-0.57342529,-0.62133789
78,-1.2979126,-0.79925537,-0.67260742
79,-1.158905,-0.76629639,-0.69702148
80,-1.1766052,-0.78369141,-0.79040527
81,-1.3082886,-0.95153809,-0.8934021
82,-1.1634827,-0.8921814,-0.82565308
83,-1.086731,-0.90744019,-0.73638916
84,-1.1166382,-0.94497681,-0.79696655
85,-1.068573,-0.9487915,-0.84213257
86,-1.1129761,-0.95428467,-0.87463379
87,-1.2261963,-1.1312866,-0.95611572
88,-1.1271667,-1.0754395,-0.97305298
89,-1.0647583,-1.0539246,-1.0031128
90,-1.0516357,-1.1169434,-1.0583496
91,-1.0046387,-1.1523438,-1.1175537
92,-0.9803772,-1.1520386,-1.1460876
93,-0.92422485,-1.245575,-1.1828613
94,-0.94161987,-1.1987305,-1.1906433
95,-0.79437256,-1.1849976,-1.1973572
96,-0.75790405,-1.2677002,-1.2045288
97,-0.81588745,-1.3110352,-1.2413025
98,-0.76416016,-1.365509,-1.2750244
99,-0.81924438,-1.502533,-1.3645935
100,-0.71655273,-1.5040588,-1.3955688
101,-0.67016602,-1.5390015,-1.428833
102,-0.58700562,-1.4836121,-1.4317322
103,-0.63232422,-1.4984131,-1.4535522
104,-0.54962158,-1.517334,-1.4704895
105,-0.55999756,-1.5379334,-1.4976501
106,-0.46646118,-1.5232849,-1.4964294
107,-0.45227051,-1.5272522,-1.5063477
108,-0.36117554,-1.5126038,-1.494751
109,-0.37857056,-1.4570618,-1.4866638
110,-0.35827637,-1.4892578,-1.4993286
111,-0.31280518,-1.4656067,-1.5013123
112,-0.28594971,-1.5045166,-1.5074158
113,-0.28503418,-1.5377808,-1.524353
114,-0.30059814,-1.5159607,-1.5328979
115,-0.16799927,-1.4907837,-1.5238953
116,-0.25909424,-1.592865,-1.5560913
117,-0.18310547,-1.5921021,-1.5771484
118,-0.21560669,-1.6566467,-1.6171265
119,-0.19668579,-1.7155457,-1.660614
120,-0.078125,-1.7906189,-1.7178345
121,-0.10543823,-1.663208,-1.7073059
122,-0.087738037,-1.6455078,-1.6799927
123,-0.13931274,-1.7204285,-1.7056274
124,-0.056152344,-1.5777588,-1.6569519
125,-0.022583008,-1.5802002,-1.6114807
126,0.047912598,-1.5249634,-1.5582275
127,0.026092529,-1.6146851,-1.5501404
128,0.056762695,-1.5753174,-1.5171814
129,0.039978027,-1.5232849,-1.4802551
130,0.14160156,-1.3897705,-1.4131165
131,0.15838623,-1.5765381,-1.4228821
