,a,b,c
0,-0.54168701,-1.8009949,-5.0
1,-0.41915894,-1.7237854,-5.0
2,-0.50537109,-1.8157959,-5.0
3,-0.3352356,-1.9334412,-4.2070007
4,-0.32348633,-1.9311523,-3.4698486
5,-0.30822754,-1.920166,-2.9460144
6,-0.1348877,-1.9366455,-2.5909424
7,0.023956299,-1.8537903,-2.3217773
8,-0.11672974,-1.9692993,-2.2059631
9,-0.009613037,-1.9911194,-2.1214294
10,-0.070343018,-2.0100403,-2.0898438
11,0.014038086,-2.0477295,-2.0584106
12,0.098876953,-2.068634,-2.0492554
13,0.065917969,-2.0283508,-2.0294189
14,0.1739502,-1.9317627,-1.9892883
15,0.21987915,-1.8362427,-1.9242859
16,0.11795044,-1.8978882,-1.9180298
17,0.27801514,-1.8299866,-1.8719482
18,0.26565552,-1.8055725,-1.8403625
19,0.33859253,-1.690979,-1.7880249
20,0.32348633,-1.7834473,-1.7919922
21,0.44815064,-1.7967224,-1.7810059
22,0.44998169,-1.8383789,-1.7901611
23,0.45181274,-1.9300842,-1.839447
24,0.55725098,-1.9726563,-1.9024658
25,0.53833008,-2.0231628,-1.9464111
26,0.5783081,-1.9770813,-1.942749
27,0.54748535,-2.1322632,-2.020874
28,0.68023682,-1.8762207,-1.9061279
29,0.59555054,-1.7721558,-1.867981
30,0.59143066,-1.7669678,-1.8211365
31,0.77041626,-1.7010498,-1.7539978
32,0.83557129,-1.7166138,-1.7129517
33,0.80245972,-1.8299866,-1.7321777
34,0.79101563,-1.7575073,-1.7401123
35,0.84075928,-1.789093,-1.7370605
36,0.93139648,-1.7076111,-1.701355
37,0.91552734,-1.6871643,-1.693573
38,0.91384888,-1.5283203,-1.6362
39,0.95092773,-1.5022278,-1.582489
40,0.86395264,-1.4654541,-1.544342
41,0.77270508,-1.5827942,-1.7747498
42,0.79025269,-1.6513062,-1.7378235
43,0.95108032,-1.5544128,-1.6648865
44,0.95245361,-1.6000366,-1.6378784
45,0.96969604,-1.5008545,-1.5939331
46,1.0079956,-1.5435791,-1.5856934
47,1.0055542,-1.3967896,-1.5281677
48,1.1071777,-1.2792969,-1.4395142
49,1.0281372,-1.2297058,-1.378479
50,1.0043335,-1.1222839,-1.3012695
51,0.97061157,-1.0803223,-1.2397766
52,1.0609436,-1.0858154,-1.1889648
