,a,b,c
0,-1.4068604,-0.67428589,-5.0
1,-1.4247131,-0.79681397,-5.0
2,-1.4009094,-0.80505371,-4.9293518
3,-1.2812805,-0.76629639,-3.4835815
4,-1.285553,-0.79483032,-2.4943542
5,-1.2997437,-0.90637207,-1.869812
6,-1.2199402,-0.87402344,-1.5312195
7,-1.085968,-0.86761475,-1.3011169
8,-1.0803223,-1.0502625,-1.2069702
9,-1.026001,-1.0571289,-1.1361694
10,-1.0565186,-1.1668396,-1.1376953
11,-0.96511841,-1.1584473,-1.1233521
12,-0.9425354,-1.184082,-1.1175537
13,-0.90240478,-1.2548828,-1.1491394
14,-0.87402344,-1.2857056,-1.1816406
15,-0.88424683,-1.2628174,-1.2173462
16,-0.80032349,-1.2214661,-1.2268066
17,-0.71090698,-1.2849426,-1.2387085
18,-0.81832886,-1.2307739,-1.2475586
19,-0.5960083,-1.3304138,-1.287384
20,-0.64804077,-1.3858032,-1.3212585
21,-0.62728882,-1.4424133,-1.3542175
22,-0.54428101,-1.3989258,-1.3671875
23,-0.59143066,-1.5458679,-1.4300537
24,-0.49438477,-1.5420532,-1.4537048
25,-0.44067383,-1.5367126,-1.4831543
26,-0.34393311,-1.4608765,-1.4567566
27,-0.39764404,-1.6040039,-1.5103149
28,-0.34194946,-1.5408325,-1.516571
29,-0.25100708,-1.5142822,-1.5083313
30,-0.1663208,-1.5524292,-1.5206909
31,-0.061340332,-1.6467285,-1.554718
32,-0.3578186,-1.8182373,-1.6365051
33,-0.11230469,-1.7752075,-1.6958618
34,0.01953125,-1.7730713,-1.7225647
35,-0.1248169,-1.5711975,-1.678009
36,0.076293945,-1.7276001,-1.6915894
37,0.14312744,-1.7092896,-1.6925049
38,0.11230469,-1.7004395,-1.6766357
39,0.19744873,-1.8635559,-1.7477417
40,0.1991272,-1.7454529,-1.7292786
41,0.36346436,-1.713562,-1.6925049
42,0.37628174,-1.7984009,-1.7138672
43,0.28274536,-1.7486572,-1.7332459
44,0.30883789,-1.8206787,-1.7538452
45,0.36193848,-1.7579651,-1.7356873
46,0.44143677,-1.736145,-1.7024231
47,0.39321899,-1.6764832,-1.6873169
48,0.43701172,-1.680603,-1.6505432
49,0.52261353,-1.6491699,-1.5975952
50,0.49987793,-1.6717529,-1.5878296
51,0.50445557,-1.5844727,-1.4886475
52,0.59173584,-1.6015625,-1.474762
53,0.63095093,-1.217041,-1.6127014
54,0.59661865,-1.5007019,-1.5673828
55,0.56457519,-1.5307617,-1.5550232
56,0.703125,-1.5550232,-1.5219116
57,0.72387695,-1.464386,-1.4964294
58,0.84869385,-1.4633179,-1.4949036
59,0.80596924,-1.3909912,-1.3882446
60,0.8732605,-1.3522339,-1.2361145
61,0.75775147,-1.3148499,-1.2487793
62,0.68023682,-1.1863709,-1.2054443
63,0.65231323,-1.2866211,-1.2207031
64,0.71838379,-1.2472534,-1.2229919
65,0.72448731,-1.1784363,-1.2173462
66,0.72082519,-1.1381531,-1.1958313
67,0.81192017,-1.0636902,-1.1364746
68,0.84762573,-0.9828186,-1.0650635
69,0.79605103,-0.96313477,-1.0192871
70,0.63964844,-0.94604492,-1.0374451
71,0.7484436,-0.93383789,-1.0057068
72,0.75271606,-0.84335327,-0.95245361
73,0.73181152,-0.79116821,-0.89096069
74,0.6867981,-0.73577881,-0.84793091
75,0.68847656,-0.75775147,-0.82122803
76,0.58914185,-0.70297241,-0.79208374
77,0.67260742,-0.69763184,-0.76156616
78,0.67642212,-0.5430603,-0.65368652
79,0.70037842,-0.56137085,-0.62667847
80,0.66467285,-0.53009033,-0.58563232
81,0.62469482,-0.40527344,-0.51345825
82,0.65841675,-0.3956604,-0.48065186
83,0.5670166,-0.33416748,-0.43655395
84,0.60058594,-0.25268555,-0.36102295
85,0.46661377,-0.24353027,-0.32302856
86,0.32592773,-0.27587891,-0.32287598
87,0.34332275,-0.24658203,-0.28198242
88,0.37200928,-0.10650635,-0.24078369
89,0.30578613,-0.02532959,-0.16143799
90,0.23147583,0.033416748,-0.098876953
91,0.2130127,0.051269531,-0.060272217
92,0.28991699,0.11413574,-0.001831055
93,0.17974853,0.048065186,0.012359619
94,0.14938355,0.17181397,0.058288574
95,0.1008606,0.12359619,0.067596436
96,0.034484863,0.29403686,0.13092041
97,0.009460449,0.34729004,0.19134522
98,0.02822876,0.32363892,0.21560669
99,-0.054931641,0.37719727,0.28945923
100,-0.038146973,0.29602051,0.32363892
101,-0.032806396,0.3894043,0.38452148
102,-0.14984131,0.31692505,0.38879394
103,-0.18325806,0.40786743,0.41381836
104,-0.25695801,0.45593262,0.44204712
105,-0.26428223,0.47439575,0.46554565
106,-0.32806397,0.52429199,0.48797607
107,-0.35766602,0.54412842,0.51727295
108,-0.43457031,0.42892456,0.31814575
109,-0.45135498,0.68054199,0.43029785
110,-0.48461914,0.60272217,0.48187256
111,-0.86212158,0.30517578,0.48553467
112,-0.71640015,0.41275024,0.45852661
113,-0.73181152,0.55664063,0.48034668
114,-0.64224243,0.728302,0.54702759
115,-0.79467773,0.57357788,0.61050415
116,-0.73974609,0.86608887,0.85861206
117,-0.80596924,0.82733154,0.84014893
118,-0.91369629,0.79681397,0.82717896
119,-0.89797974,0.87112427,0.82626343
120,-0.96923828,0.72753906,0.80062866
121,-1.0314941,0.74234009,0.7774353
122,-1.0389709,0.64758301,0.72479248
123,-1.2149048,0.60974121,0.6993103
124,-1.2059021,0.66223144,0.677948
125,-1.2605286,0.64605713,0.6590271
126,-1.2037659,0.74676514,0.67108154
127,-1.255188,0.70983887,0.65093994
128,-1.1940002,0.72937012,0.64651489
129,-1.1953735,0.75469971,0.68313599
130,-1.335907,0.61752319,0.64224243
131,-1.1993408,0.77102661,0.67153931
132,-1.3780212,0.63949585,0.64697266
133,-1.3311768,0.67977905,0.65032959
134,-1.3923645,0.71472168,0.62988281
135,-1.3677979,0.65490723,0.61447144
136,-1.4880371,0.60302734,0.59814453
137,-1.3354492,0.65765381,0.59814453
138,-1.4439392,0.64224243,0.60272217
139,-1.3972473,0.55969238,0.56564331
140,-1.5879822,0.46539307,0.51895142
141,-1.4610291,0.51727295,0.5166626
142,-1.5185547,0.35491943,0.46112061
143,-1.5707397,0.2255249,0.36376953
144,-1.5158081,0.30914307,0.34606934
145,-1.6165161,0.20858765,0.28137207
146,-1.6537476,0.11642456,0.20767212
147,-1.6877747,0.22399902,0.20248413
148,-1.6564941,0.1083374,0.1663208
149,-1.6453552,0.012512207,0.11291504
150,-1.7282104,0.038604736,0.090789795
151,-1.45401,-0.034790039,0.064849854
152,-1.5710449,0.08972168,0.06942749
153,-1.7022705,-0.041046143,0.010986328
154,-1.5617371,-0.06652832,-0.038452148
155,-1.6033936,-0.19271851,-0.074005127
156,-1.6145325,-0.20584106,-0.083618164
157,-1.5379334,-0.19699097,-0.10101318
158,-1.6317749,-0.32470703,-0.17807007
159,-1.5655518,-0.27709961,-0.19927978
160,-1.5219116,-0.31463623,-0.21331787
161,-1.4408875,-0.4397583,-0.25466919
162,-1.481781,-0.365448,-0.35598755
163,-1.3162231,-0.40496826,-0.44311523
164,-1.3320923,-0.56152344,-0.53070068
165,-1.3365173,-0.54962158,-0.4486084
166,-1.3314819,-0.60638428,-0.47714233
167,-1.3780212,-0.62072754,-0.52719116
168,-1.4031982,-0.68634033,-0.54367065
169,-1.2985229,-0.6237793,-0.54641724
170,-1.335144,-0.62896728,-0.56427002
171,-1.2214661,-0.80810547,-0.59036255
172,-1.245575,-0.93597412,-0.53543091
173,-1.1463928,-0.91506958,-0.64559937
174,-1.153717,-1.0171509,-0.75927734
175,-1.0276794,-1.0394287,-0.83007813
176,-1.0562134,-1.0733032,-0.90759277
177,-1.0307312,-1.1448669,-0.99578857
178,-0.92514038,-1.21521,-1.04599
179,-0.90179443,-1.2216187,-1.0974121
180,-0.81283569,-1.2228394,-1.125946
181,-0.82931519,-1.2817383,-1.1880493
182,-0.65856934,-1.3961792,-1.2702942
183,-0.75012207,-1.315155,-1.2968445
184,-0.77972412,-1.2921143,-1.2940979
185,-0.7081604,-1.4172363,-1.3504028
186,-0.58242798,-1.37146,-1.3514709
187,-0.60012817,-1.4877319,-1.3957214
188,-0.56976318,-1.5081787,-1.4221191
189,-0.49880981,-1.489563,-1.446991
190,-0.45455933,-1.4772034,-1.4640808
191,-0.57037353,-1.5202332,-1.4697266
192,-0.3427124,-1.5484619,-1.4950562
193,-0.42999268,-1.6699219,-1.5472412
194,-0.40405273,-1.7207336,-1.5940857
195,-0.40023804,-1.7602539,-1.6351318
196,-0.34194946,-1.7572021,-1.676178
197,-0.25024414,-1.6799927,-1.6549683
198,-0.22781372,-1.6360474,-1.6412354
199,-0.19104004,-1.6734314,-1.6357422
200,-0.12039185,-1.7640686,-1.6621399
201,0.099029541,-1.7344666,-1.6847229
202,0.11535645,-1.7544556,-1.7085266
203,-0.02166748,-1.7752075,-1.7114258
204,0.26641846,-1.7584229,-1.7251587
205,0.25588989,-1.7494202,-1.7289734
206,0.24368286,-1.7315674,-1.7059326
207,0.3388977,-1.7703247,-1.7454529
208,0.34881592,-1.6534424,-1.6848755
209,0.50125122,-1.6108704,-1.6485596
210,0.4560852,-1.7150879,-1.6455078
211,0.31402588,-1.7282104,-1.6390991
212,0.45257568,-1.6320801,-1.6152954
213,0.4977417,-1.6954041,-1.6056824
214,0.46310425,-1.7094421,-1.6072083
215,0.574646,-1.5995789,-1.5608215
216,0.4800415,-1.6574097,-1.5629578
217,0.546875,-1.6807556,-1.6934204
218,0.61386108,-1.4807129,-1.5814209
219,0.63858032,-1.5896606,-1.583252
220,0.60119629,-1.5609741,-1.5869141
221,0.65490723,-1.5734863,-1.5406799
222,0.70739746,-1.4526367,-1.5054321
223,0.65505981,-1.4752197,-1.5118408
224,0.68817139,-1.4533997,-1.5023804
225,0.65673828,-1.4425659,-1.4622498
226,0.71182251,-1.3484192,-1.4022827
227,0.67337036,-1.415863,-1.2243652
228,0.78048706,-1.3034058,-1.2289429
229,0.82977295,-1.2379456,-1.2258911
230,0.76538086,-1.1763,-1.1952209
231,0.77651978,-1.0621643,-1.1474609
232,0.75256348,-1.1682129,-1.1599731
233,0.80062866,-1.0380554,-1.1152649
234,0.72174072,-1.1010742,-1.1148071
235,0.70953369,-1.1094666,-1.1048889
236,0.84121704,-0.91415405,-1.0287476
237,0.75439453,-1.0379028,-1.0383606
238,0.80612183,-0.91094971,-0.99487305
239,0.79345703,-0.85342407,-0.95581055
240,0.70983887,-0.87081909,-0.93521118
241,0.74111938,-0.80596924,-0.89111328
242,0.68588257,-0.84716797,-0.87753296
243,0.65765381,-0.78323364,-0.86791992
244,0.71563721,-0.72753906,-0.78964233
245,0.70465088,-0.56472778,-0.69641113
246,0.57754517,-0.40817261,-0.6098938
247,0.66894531,-0.43045044,-0.52352905
248,0.58120728,-0.46569824,-0.50125122
249,0.61981201,-0.36270142,-0.44250488
250,0.59707642,-0.27938843,-0.38955689
251,0.58868408,-0.21286011,-0.31417847
252,0.26580811,-0.1020813,-0.25390625
253,0.32974243,-0.13671875,-0.22598267
254,0.24658203,-0.18112183,-0.21774292
255,0.35888672,-0.079650879,-0.18554688
256,0.28594971,-0.040740967,-0.13046265
257,0.31219482,-0.00579834,-0.096588135
258,0.20858765,0.016326904,-0.061187744
259,0.28930664,0.17486572,0.032806396
260,0.16189575,0.075073242,0.029754639
261,0.12237549,0.19622803,0.077514648
262,0.070953369,0.14724731,0.087890625
263,0.033721924,0.32730103,0.1625061
264,0.03326416,0.3956604,0.22888184
265,0.002441406,0.37124634,0.27297974
266,-0.10635376,0.47637939,0.36712647
267,-0.060882568,0.36697388,0.38391113
268,-0.18661499,0.35903931,0.38574219
269,-0.1789856,0.4145813,0.40863037
270,-0.24536133,0.41549683,0.40527344
271,-0.30319214,0.41992188,0.42999268
272,-0.30487061,0.43716431,0.31845093
273,-0.38406372,0.49957275,0.37384033
274,-0.41595459,0.48858643,0.38024902
275,-0.65185547,0.090179443,0.33950806
276,-0.45593262,0.79162598,0.37658691
277,-0.6401062,0.54748535,0.42999268
278,-0.75469971,0.29312134,0.35079956
279,-0.70220947,0.47393799,0.42251587
280,-0.7875061,0.56152344,0.47515869
281,-0.91751099,0.59005737,0.46051025
282,-0.80566406,0.52032471,0.55282593
283,-0.86380005,0.68191528,0.77270508
284,-0.97732544,0.6338501,0.7383728
285,-1.0299683,0.64590454,0.70251465
286,-1.0751343,0.76599121,0.7333374
287,-1.0160828,0.71716309,0.72814941
288,-1.0099792,0.81726074,0.7699585
289,-1.1053467,0.76568603,0.75958252
290,-1.1608887,0.74264526,0.74111938
291,-1.1212158,0.6980896,0.72113037
292,-1.1228943,0.70114136,0.72799683
293,-1.164093,0.71655273,0.70236206
294,-1.2774658,0.61767578,0.65231323
295,-1.1642456,0.73348999,0.66619873
296,-1.3635254,0.57144165,0.62637329
297,-1.2651062,0.61721802,0.61676025
298,-1.338501,0.59768677,0.58929443
299,-1.2913513,0.66513062,0.59844971
300,-1.3525391,0.6098938,0.59494019
301,-1.4360046,0.54931641,0.53237915
302,-1.4529419,0.70236206,0.56930542
303,-1.4337158,0.63873291,0.5871582
304,-1.6117859,0.44967651,0.52474976
305,-1.5103149,0.45150757,0.48751831
306,-1.5063477,0.54229736,0.49591064
307,-1.388092,0.49407959,0.48675537
308,-1.4743042,0.29098511,0.39825439
309,-1.451416,0.27801514,0.3477478
310,-1.5663147,0.27587891,0.31692505
311,-1.4115906,0.27877808,0.28823853
312,-1.625824,0.19607544,0.2420044
313,-1.6601563,0.079803467,0.17807007
314,-1.5820313,0.10162354,0.16082764
315,-1.3589478,0.039978027,0.10620117
316,-1.5629578,-0.000610352,0.067596436
317,-1.550293,-0.017089844,0.039215088
318,-1.4855957,0.02166748,0.028076172
319,-1.5943909,-0.057830811,-0.0390625
320,-1.6749573,-0.077819824,-0.033721924
321,-1.5829468,-0.14923096,-0.065155029
322,-1.6778564,-0.15167236,-0.085449219
323,-1.5328979,-0.18356323,-0.10253906
324,-1.4448547,-0.25146484,-0.13061523
325,-1.4971924,-0.48187256,-0.2456665
326,-1.6326904,-0.38192749,-0.2671814
327,-1.5826416,-0.29541016,-0.37109375
328,-1.5562439,-0.62408447,-0.50598144
329,-1.4956665,-0.44189453,-0.50857544
330,-1.4344788,-0.78811646,-0.54656982
331,-1.479187,-0.87814331,-0.70800781
332,-1.3546753,-0.55145264,-0.71166992
333,-1.3500977,-0.65383911,-0.70907593
334,-1.3302612,-0.71777344,-0.71960449
335,-1.3711548,-0.78216553,-0.7383728
336,-1.2261963,-0.83831787,-0.75653076
337,-1.2220764,-0.89096069,-0.81466675
338,-1.1753845,-0.94543457,-0.76354981
339,-1.0948181,-0.92849731,-0.68145752
340,-1.103363,-1.0105896,-0.78903198
341,-1.0902405,-1.0499573,-0.8782959
342,-1.1051941,-1.1999512,-0.98556519
343,-1.0321045,-1.157074,-1.0357666
344,-1.0476685,-1.1671448,-1.0964966
345,-1.0136414,-1.1979675,-1.1552429
346,-0.87936401,-1.381073,-1.2088013
347,-0.87341309,-1.348877,-1.2425232
348,-0.82244873,-1.2722778,-1.2664795
349,-0.75164795,-1.2846375,-1.2831116
350,-0.68740845,-1.2683105,-1.2820435
351,-0.78033447,-1.4118958,-1.3414001
352,-0.6690979,-1.3513184,-1.3592529
353,-0.66055298,-1.4424133,-1.394043
354,-0.55664063,-1.3540649,-1.3781738
355,-0.46691894,-1.4302063,-1.3978577
356,-0.51239014,-1.5600586,-1.4520264
357,-0.38330078,-1.4379883,-1.4297485
358,-0.40298462,-1.5348816,-1.4637756
359,-0.3742981,-1.5174866,-1.4802551
360,-0.24459839,-1.4808655,-1.474762
361,-0.22186279,-1.6204834,-1.5190125
362,-0.19622803,-1.6433716,-1.5658569
363,-0.24398804,-1.6926575,-1.6259766
364,-0.11138916,-1.6511536,-1.6184998
365,-0.083312988,-1.7042541,-1.6390991
366,0.054626465,-1.7456055,-1.6481018
367,0.043945313,-1.7430115,-1.685791
368,0.16159058,-1.7625427,-1.7181396
369,0.16235352,-1.7425537,-1.7218018
370,0.22125244,-1.8673706,-1.7655945
371,0.27587891,-1.6741943,-1.7292786
372,0.17349243,-1.6505432,-1.675415
373,0.32470703,-1.7277527,-1.6790771
374,0.30349731,-1.6113281,-1.6508484
375,0.31982422,-1.6494751,-1.6195679
376,0.45455933,-1.6697693,-1.5901184
377,0.36941528,-1.6151428,-1.5664673
378,0.45501709,-1.685791,-1.5759277
379,0.48660278,-1.625061,-1.5841675
380,0.5078125,-1.6036987,-1.5701294
381,0.45043945,-1.6366577,-1.579895
382,0.55160522,-1.6999817,-1.7547607
383,0.62011719,-1.7868042,-1.7605591
384,0.57266235,-1.7303467,-1.6389465
385,0.5506897,-1.6624451,-1.6201782
386,0.60943603,-1.6563416,-1.6134644
387,0.6477356,-1.4634705,-1.569519
388,0.65093994,-1.3998413,-1.5246582
389,0.652771,-1.4753723,-1.4544678
390,0.63400269,-1.4537048,-1.4559937
391,0.6930542,-1.5115356,-1.4738464
392,0.75866699,-1.5145874,-1.4903259
393,0.84777832,-1.5512085,-1.50177
394,0.76751709,-1.6021729,-1.3510132
395,0.78399658,-1.2515259,-1.3050842
396,0.73883057,-1.2768555,-1.289978
397,0.8581543,-1.1431885,-1.204071
398,0.76690674,-1.0934448,-1.1694336
399,0.71975708,-1.1457825,-1.1624146
400,0.73669434,-0.98266602,-1.1032104
401,0.81039429,-0.90332031,-1.0362244
402,0.78155518,-0.91430664,-0.97885132
403,0.76721191,-0.96542358,-0.96862793
404,0.67718506,-0.94650269,-0.98800659
405,0.73501587,-0.95687866,-0.9703064
406,0.70892334,-0.91217041,-0.9387207
407,0.63232422,-0.75836182,-0.8996582
408,0.61599731,-0.72662353,-0.86380005
409,0.64758301,-0.69641113,-0.81161499
410,0.82489014,-0.67871094,-0.76446533
411,0.69946289,-0.51467896,-0.66802978
412,0.6098938,-0.49255371,-0.60897827
413,0.70480347,-0.38253784,-0.53039551
414,0.66223144,-0.36117554,-0.46386719
415,0.49331665,-0.30487061,-0.40557861
416,0.53909302,-0.15090942,-0.32455444
417,0.47225952,-0.17562866,-0.28427124
418,0.40557861,-0.13793945,-0.24642944
419,0.51437378,-0.084228516,-0.17913818
420,0.36071777,-0.048217773,-0.11199951
421,0.51971435,-0.037384033,-0.10070801
422,0.33340454,-0.11123657,-0.11779785
423,0.25177002,0.040435791,-0.060882568
424,0.24871826,0.013885498,-0.046234131
425,0.089111328,0.21133423,0.048370361
426,0.17272949,0.26794434,0.10986328
427,0.12390137,0.41290283,0.010528564
428,-0.039825439,-0.023956299,-0.004730225
429,-0.064239502,0.3388977,0.09765625
430,-0.080108643,0.39123535,0.2154541
431,-0.071411133,0.38345337,0.28198242
432,-0.05355835,0.35552978,0.31097412
433,-0.10528565,0.418396,0.36392212
434,-0.11642456,0.42709351,0.40786743
435,-0.1550293,0.45639038,0.44570923
436,-0.17471313,0.47866821,0.47363281
437,-0.25115967,0.47561645,0.27435303
438,-0.24551392,0.61660767,0.42892456
439,-0.40161133,1.0394287,0.34698486
440,-0.58349609,0.45974731,0.41351318
441,-0.4850769,0.25421143,0.33798218
442,-0.72067261,0.46264648,0.43334961
443,-0.56884766,1.3693237,0.38314819
444,-0.68176269,0.4977417,0.32226563
445,-0.84014893,0.45959473,0.51559448
446,-0.71502685,0.50872803,0.5430603
447,-0.74645996,0.77423096,0.60546875
448,-0.71304321,0.73577881,0.63522339
449,-0.83602905,0.74737549,0.71289063
450,-0.91979981,0.75119019,0.88912964
451,-0.91690063,0.73883057,0.82351685
452,-1.1106873,0.68328857,0.77713013
453,-1.0809326,0.70770264,0.73379517
454,-1.0932922,0.69061279,0.70648193
455,-1.0516357,0.72570801,0.70861816
456,-1.1883545,0.64834595,0.6729126
457,-1.1750793,0.67993164,0.68481445
458,-1.1643982,0.76049805,0.7093811
459,-1.2664795,0.6652832,0.68145752
460,-1.2249756,0.75683594,0.67932129
461,-1.2051392,0.72525024,0.6829834
462,-1.2875366,0.73287964,0.67337036
463,-1.3490295,0.59295654,0.62927246
464,-1.275177,0.72250366,0.6590271
465,-1.3896179,0.60348511,0.61584473
466,-1.4178467,0.64239502,0.61904907
467,-1.40625,0.625,0.60424805
468,-1.4962769,0.6652832,0.5708313
469,-1.5023804,0.62164307,0.5871582
470,-1.4190674,0.62576294,0.58563232
471,-1.5646362,0.38589478,0.47561645
472,-1.6534424,0.36880493,0.42022705
473,-1.6081238,0.26992798,0.36071777
474,-1.5914917,0.28930664,0.32577515
475,-1.5589905,0.34332275,0.3276062
476,-1.6329956,0.33386231,0.29785156
477,-1.5214539,0.29067993,0.2607727
478,-1.4590454,0.20721435,0.23712158
479,-1.5177917,0.29998779,0.25390625
480,-1.5216064,0.11764526,0.18310547
481,-1.5327454,0.073547363,0.16189575
482,-1.6882324,0.082092285,0.1373291
483,-1.5011597,0.014648438,0.094604492
484,-1.5385437,0.000152588,0.075073242
485,-1.5313721,-0.13000488,0.019683838
486,-1.6159058,-0.18569946,-0.03112793
487,-1.4573669,-0.20568848,-0.059051514
488,-1.5608215,-0.13290405,-0.098114014
489,-1.6415405,-0.18356323,-0.11901856
490,-1.5135193,-0.25009155,-0.18051148
491,-1.4202881,-0.3388977,-0.22842407
492,-1.5454102,-0.4296875,-0.43304443
493,-1.5460205,-0.59570313,-0.46981811
494,-1.5142822,-0.55297852,-0.4888916
495,-1.4083862,-0.53665161,-0.48080444
496,-1.4654541,-0.46585083,-0.49560547
497,-1.3970947,-0.61447144,-0.52093506
498,-1.3217163,-0.96511841,-0.6867981
499,-1.2942505,-0.85144043,-0.80688477
500,-1.3796997,-0.83099365,-0.84457397
501,-1.2576294,-0.82824707,-0.85327148
502,-1.2744141,-0.77926636,-0.87677002
503,-1.2364197,-0.89614868,-0.88806152
504,-1.2432861,-0.97213745,-0.909729
505,-1.1567688,-0.91079712,-0.97122192
506,-1.2084961,-1.0687256,-0.83297729
507,-1.1315918,-1.0850525,-0.90270996
508,-1.133728,-1.2042236,-0.99838257
509,-0.97763062,-1.1430359,-1.0298157
510,-0.90240478,-1.0112,-1.0696411
511,-0.84915161,-1.2191772,-1.1206055
512,-0.79864502,-1.2411499,-1.1579895
513,-0.859375,-1.2565613,-1.1581421
514,-0.83450317,-1.3941956,-1.2391663
515,-0.76034546,-1.3999939,-1.2927246
516,-0.76461792,-1.3883972,-1.3926697
517,-0.62316894,-1.4797974,-1.4135742
518,-0.52398682,-1.4326477,-1.4054871
519,-0.5506897,-1.4001465,-1.4155579
520,-0.49179077,-1.4810181,-1.4376831
