,a,b,c
0,-1.6096497,0.94924927,-5.0
1,-1.6539001,0.97290039,-5.0
2,-1.6389465,0.81970215,-3.4735107
3,-1.517334,0.96817017,-1.990509
4,-1.5133667,0.91705322,-1.0238647
5,-1.5411377,0.86303711,-0.39672852
6,-1.7124939,0.73013306,-0.018157959
7,-1.6564941,0.75546265,0.24154663
8,-1.7631531,0.73486328,0.35629272
9,-1.7538452,0.62896728,0.44311523
10,-1.7150879,0.68130493,0.52017212
11,-1.7501831,0.63858032,0.546875
12,-1.5733337,0.55999756,0.53100586
13,-1.8029785,0.58105469,0.53726196
14,-1.9003296,0.50292969,0.52200317
15,-1.7472839,0.44143677,0.48843384
16,-1.8696594,0.22735596,0.35491943
17,-1.8714905,0.39642334,0.35507202
18,-1.7849731,0.28915405,0.29937744
19,-1.8359375,0.22079468,0.28686523
20,-1.8391418,0.098266602,0.22064209
21,-1.8222046,-0.031890869,0.14816284
22,-1.7932129,-0.055541992,0.043487549
23,-1.8165588,-0.030822754,0.012817383
24,-1.7707825,-0.2532959,-0.085144043
25,-1.8202209,-0.083618164,-0.093688965
26,-1.8595886,-0.26412964,-0.12969971
27,-1.8249512,-0.65032959,-0.34439087
28,-1.7845154,-0.21697998,-0.32531738
29,-1.7198181,-0.27420044,-0.31829834
30,-1.7654419,-0.42358398,-0.34469605
31,-1.7155457,-0.44311523,-0.3704834
32,-1.6329956,-0.53894043,-0.41748047
33,-1.5904236,-0.46661377,-0.42724609
34,-1.6931152,-0.64453125,-0.48599243
35,-1.6220093,-0.64590454,-0.54672241
36,-1.6351318,-0.65216065,-0.61462402
37,-1.599884,-0.65933228,-0.78826904
38,-1.4929199,-0.71289063,-0.76904297
39,-1.4356995,-0.74996948,-0.77270508
40,-1.3647461,-0.81039429,-0.82000732
41,-1.3897705,-0.93032837,-0.87722778
42,-1.3098145,-0.98449707,-0.91796875
43,-1.3000488,-1.100769,-1.0212708
44,-1.2301636,-1.1993408,-1.1424255
45,-1.1450195,-1.2089539,-1.1451721
46,-1.0317993,-1.3247681,-1.2512207
47,-1.0740662,-1.4471436,-1.3180542
48,-1.008606,-1.4086914,-1.348114
49,-0.86746216,-1.4477539,-1.3645935
50,-0.89904785,-1.5328979,-1.4085388
51,-0.86532593,-1.6113281,-1.4755249
52,-0.76309204,-1.6682434,-1.5177917
53,-0.76446533,-1.672821,-1.5684509
54,-0.64819336,-1.7004395,-1.6101074
55,-0.5569458,-1.7457581,-1.5115356
56,-0.51864624,-1.8859863,-1.6687012
57,-0.46676636,-1.8840027,-1.7282104
58,-0.44143677,-1.9172668,-1.7893982
59,-0.35125732,-1.889801,-1.8217468
60,-0.42617798,-1.9248962,-1.8609619
61,-0.34957886,-1.902771,-1.8807983
62,-0.2381897,-1.8704224,-1.8756104
63,-0.21286011,-1.9129944,-1.9100952
64,-0.18981934,-1.8437195,-1.9061279
65,-0.16738892,-1.8968201,-1.9226074
66,-0.065002441,-1.8470764,-1.8989563
67,-0.007781982,-1.9067383,-1.907959
68,-0.085754395,-1.8867493,-1.917572
69,0.14663696,-2.020874,-1.9519043
70,0.053100586,-2.0249939,-1.9989014
71,0.16845703,-1.9587708,-2.0030212
72,0.23849487,-1.9639587,-2.0075989
73,0.3125,-2.1032715,-2.0645142
74,0.28076172,-2.224884,-2.144165
75,0.41656494,-2.1603394,-2.1643066
76,0.5657959,-2.064209,-2.1302795
77,0.55725098,-2.0892334,-2.142334
78,0.63278198,-1.9923401,-2.0983887
79,0.68588257,-2.0742798,-2.0812988
80,0.73730469,-1.9873047,-2.0593262
81,0.80780029,-1.9721985,-2.0281982
82,0.76889038,-2.2029114,-2.1066284
83,0.8644104,-1.7306519,-2.049408
84,0.80505371,-2.0855713,-2.0703125
85,0.94055176,-2.0120239,-2.0301819
86,0.88439941,-1.9940186,-2.0094299
87,1.0081482,-1.8400574,-1.9494629
88,0.90881348,-1.9458008,-1.9485474
89,0.98052978,-1.8711853,-1.9104004
90,0.91796875,-1.8669128,-1.8954468
91,0.97488403,-1.6151428,-1.837616
92,0.91369629,-1.6703796,-1.9720459
93,0.95336914,-1.6036987,-1.8560791
94,0.99914551,-1.6127014,-1.7903137
95,0.9564209,-1.6162109,-1.7298889
96,0.98968506,-1.4750671,-1.6416931
97,0.97442627,-1.4971924,-1.5751648
98,1.1099243,-1.3328552,-1.4834595
99,1.0443115,-1.343689,-1.4505005
100,1.0614014,-1.217041,-1.3793945
101,1.0853577,-1.1225891,-1.3253784
102,1.0054016,-1.0327148,-1.2583923
103,1.1207581,-0.83801269,-1.1109924
104,1.1257935,-0.89019775,-1.0464478
105,1.1691284,-0.80566406,-0.95932007
106,1.1343384,-0.80612183,-0.91217041
107,1.0777283,-0.76446533,-0.86547852
108,1.0501099,-0.70739746,-0.81375122
109,1.0575867,-0.71380615,-0.61508179
110,0.96435547,-0.70678711,-0.61126709
111,1.0775757,-0.52551269,-0.55709839
112,0.9777832,-0.58044434,-0.56991577
113,0.94802856,-0.48156738,-0.52780151
114,0.88256836,-0.48110962,-0.50765991
115,0.84594727,-0.44906616,-0.49194336
116,0.84396362,-0.44158936,-0.45761108
117,0.88180542,-0.23284912,-0.418396
118,0.80291748,-0.33386231,-0.38208008
119,0.77346802,-0.23925781,-0.3314209
120,0.73547363,-0.23239136,-0.29571533
121,0.68466187,-0.16311645,-0.25100708
122,0.59936523,-0.12878418,-0.21057129
123,0.51254272,-0.11886597,-0.17944336
124,0.61172485,-0.012359619,-0.10131836
125,0.41305542,0.21255493,0.015411377
126,0.31661987,0.18432617,0.041809082
127,0.44403076,0.2130127,0.26535034
128,0.24887085,0.2784729,0.26611328
129,0.25512695,0.39642334,0.30426025
130,0.337677,0.41381836,0.34912109
131,0.24032593,0.6173706,0.43106079
132,0.11901856,0.59143066,0.49575806
133,0.12954712,0.77774048,0.6048584
134,-0.0340271,0.76522827,0.66238403
135,-0.059814453,0.82138062,0.72998047
136,-0.16311645,0.86517334,0.78399658
137,-0.2029419,0.90545654,0.83679199
138,-0.3125,0.90881348,0.84274292
139,-0.31677246,0.9916687,0.91552734
140,-0.36346436,1.0098267,0.95916748
141,-0.33096314,0.9715271,0.96572876
142,-0.42999268,0.89599609,0.96374512
143,-0.41412353,0.97991943,1.0037231
144,-0.50292969,0.99563599,1.0162354
145,-0.53100586,1.0580444,1.0392761
146,-0.60028076,1.0186768,1.0694885
147,-0.64910889,1.0525513,0.87097168
148,-0.69381714,1.0299683,0.92636108
149,-0.74935913,1.0377502,0.98449707
150,-0.86395264,0.97564697,0.99182129
151,-0.81787109,1.0998535,1.0514832
152,-1.0029602,0.98876953,1.0324097
153,-0.92819214,1.1526489,1.0699463
154,-1.0496521,1.1381531,1.0971069
155,-1.2026978,0.96221924,1.0501099
156,-1.4749146,0.76263428,0.94436646
157,-1.3323975,0.90316772,0.9262085
158,-1.3342285,1.1691284,1.027832
159,-1.3702393,1.2365723,1.1012268
160,-1.4622498,1.2084961,1.1444092
161,-1.582489,1.0896301,1.1402893
162,-1.5641785,1.1553955,1.1630249
163,-1.5838623,1.1624146,1.1659241
164,-1.6496277,1.1155701,1.315918
165,-1.6708374,1.1274719,1.2863159
166,-1.784668,1.0046387,1.2001038
167,-1.7388916,1.0818481,1.1878967
168,-1.7887878,1.0482788,1.1550903
169,-1.8440247,0.93795776,1.1042786
170,-1.7610168,1.026001,1.104126
171,-1.847229,0.92849731,1.0627747
172,-1.819458,0.94421387,1.0302734
173,-1.7218018,0.92453003,1.0061646
174,-1.758728,0.83694458,0.95947266
175,-1.7468262,0.81466675,0.91491699
176,-1.7694092,0.75149536,0.85891724
177,-1.7298889,0.7421875,0.82077026
178,-1.7692566,0.61447144,0.75195313
179,-1.9010925,0.56289673,0.67993164
180,-1.8106079,0.47988892,0.60272217
181,-1.9512939,0.59524536,0.57754517
182,-1.8955994,0.47058106,0.56274414
183,-1.9018555,0.32745361,0.47271728
184,-2.0042419,0.13854981,0.35003662
185,-1.9065857,0.19805908,0.29968262
186,-1.8511963,0.081329346,0.19714356
187,-1.9496155,0.061340332,0.13854981
188,-1.8103027,-0.094909668,0.060577393
189,-1.7779541,-0.055999756,-0.008850098
190,-1.9590759,-0.29037476,-0.1020813
191,-1.8972778,-0.15289307,-0.13168335
192,-1.9239807,-0.39657593,-0.18722534
193,-1.8624878,-0.5090332,-0.34927368
194,-1.7637634,-0.31112671,-0.21835327
195,-1.7845154,-0.46142578,-0.30899048
196,-1.8807983,-0.33996582,-0.31433106
197,-1.8533325,-0.59265137,-0.38314819
198,-1.8789673,-0.59997559,-0.4788208
199,-1.68396,-0.56854248,-0.46875
200,-1.739502,-0.62484741,-0.51803589
201,-1.6899109,-0.70922852,-0.60180664
202,-1.579895,-0.73059082,-0.62606812
203,-1.4682007,-0.7019043,-0.82168579
204,-1.5257263,-0.85098267,-0.83312988
205,-1.502533,-0.76934815,-0.81359863
206,-1.3591003,-0.83084106,-0.82778931
207,-1.3612366,-1.0066223,-0.89065552
208,-1.3050842,-1.0398865,-0.96466065
