,a,b,c
0,-1.7373657,0.58425903,0.38452148
1,-1.7829895,0.43884277,0.53421021
2,-1.7469788,0.63110352,0.52978516
3,-1.8269348,0.53192139,0.77438354
4,-1.7254639,0.57571411,0.65429688
5,-1.8418884,0.71792603,0.75866699
6,-1.8884277,0.62850952,0.86685181
7,-1.7971802,0.30090332,0.96008301
8,-1.8214416,0.39413452,0.91247559
9,-1.9708252,0.28533936,1.2469482
10,-1.804657,0.25695801,0.9689331
11,-1.8467712,0.3388977,0.99807739
12,-2.0304871,0.074768066,1.2564087
13,-1.9915771,0.056915283,1.0568237
14,-2.0121765,-0.032653809,1.0673523
15,-1.6775513,-0.096893311,1.1302185
16,-1.8411255,-0.22827148,1.0787964
17,-1.7337036,-0.2456665,1.1427307
18,-1.660614,-0.25985718,1.3085938
19,-1.6290283,-0.23223877,1.212616
20,-1.5959167,-0.39871216,1.4625549
21,-1.6908264,-0.36193848,1.2457275
22,-1.7304993,-0.48187256,1.4546204
23,-1.6275024,-0.37567139,1.5112305
24,-1.8119812,-0.519104,1.5814209
25,-1.4959717,-0.56274414,1.3494873
26,-1.6287231,-0.82000732,1.4509583
27,-1.6947937,-0.72448731,1.3592529
28,-1.6194153,-0.76644897,1.6764832
29,-1.5914917,-0.75744629,1.2368774
30,-1.5971375,-0.75241089,1.7141724
31,-1.5957642,-0.79269409,1.3671875
32,-1.4736938,-0.97213745,1.3977051
33,-1.5708923,-1.1886597,1.464386
34,-1.4825439,-1.1143494,1.3009644
35,-1.5013123,-1.1270142,1.6390991
36,-1.5466309,-1.1308289,1.6822815
37,-1.4118958,-1.6705322,1.5155029
38,-1.2496948,-1.3044739,1.6760254
39,-1.2548828,-1.5063477,1.8226624
40,-1.2942505,-1.3922119,1.5556335
41,-1.1682129,-1.5155029,1.7456055
42,-1.1018372,-1.5238953,1.5229797
43,-1.0612488,-1.4926147,1.6653442
44,-1.1172485,-1.3256836,1.6790771
45,-0.909729,-1.5209961,1.6651916
46,-0.86410522,-1.5776062,1.7155457
47,-0.77133179,-1.5916443,1.7214966
48,-0.82992554,-1.5872192,1.8678284
49,-0.63873291,-1.6436768,1.8411255
50,-0.72113037,-1.7420959,1.8829346
51,-0.53894043,-1.733551,1.7271423
52,-0.51086426,-1.750946,1.6870117
53,-0.45318603,-1.7892456,1.6522217
54,-0.49789429,-1.7861938,1.7111206
55,-0.47821045,-1.9056702,1.6662598
56,-0.34484863,-2.0223999,1.506958
57,-0.29067993,-1.885376,1.5126038
58,-0.28259277,-1.9685364,1.5312195
59,-0.26184082,-1.9937134,1.4961243
60,-0.16036987,-2.0178223,1.4222717
61,-0.12008667,-2.0332336,1.4343262
62,-0.059814453,-2.0115662,1.3302612
63,0.069274902,-2.0495605,1.2632751
64,0.003356934,-1.9876099,1.2411499
65,0.016479492,-1.9294739,1.1895752
66,0.10665894,-1.8215942,1.1367798
67,0.20141602,-1.9468689,0.99273682
68,0.068511963,-1.88797,1.1849976
69,0.26519775,-1.9528198,0.94940185
70,0.34790039,-2.0220947,1.0180664
71,0.26550293,-1.9784546,1.0238647
72,0.32150269,-2.0724487,0.78933716
73,0.46325684,-1.9204712,0.71624756
74,0.39260864,-1.8215942,0.73181152
75,0.51422119,-1.9668579,0.61599731
76,0.5078125,-1.9920349,0.74310303
77,0.52261353,-2.0129395,0.73928833
78,0.53649902,-2.0120239,0.69946289
79,0.61950684,-2.0346069,0.58349609
80,0.56518555,-1.8835449,0.58166504
81,0.5758667,-1.9821167,0.55389404
82,0.71838379,-1.663208,0.46051025
83,0.71533203,-1.8014526,0.38238525
84,0.65475464,-1.6738892,0.30532837
85,0.79772949,-1.8913269,0.28625488
86,0.80810547,-1.7951965,0.20263672
87,0.90881348,-1.8153381,0.36743164
88,0.86013794,-1.9219971,0.1689148
89,0.73959351,-1.8315125,0.16326904
90,0.81741333,-1.5872192,0.12161255
91,0.90240478,-1.7807007,0.1725769
92,0.91796875,-1.7456055,-0.089263916
93,0.82183838,-1.5809631,-0.28182983
94,1.0258484,-1.6009521,-0.30181885
95,0.86547852,-1.5527344,-0.26367188
96,0.859375,-1.4587402,-0.23986816
97,0.87921143,-1.4315796,-0.31066894
98,0.9387207,-1.3153076,-0.37811279
99,0.95672607,-1.2901306,-0.38513184
100,1.0005188,-1.368866,-0.50704956
101,0.99853516,-1.2989807,-0.5078125
102,1.0856628,-1.1601257,-0.58685303
103,0.89660644,-1.0273743,-0.65994263
104,0.85571289,-1.1903381,-0.69564819
105,0.88790894,-1.0649109,-0.46173096
106,0.91720581,-0.94329834,-0.70068359
107,0.91018677,-0.90499878,-0.71289063
108,0.89920044,-0.94970703,-0.71914673
109,0.95352173,-0.95291138,-0.80383301
110,0.96969604,-0.93841553,-0.85250854
111,0.84259033,-0.859375,-0.80001831
112,0.92010498,-0.85723877,-0.68847656
113,0.87646484,-0.76980591,-0.88439941
114,0.75164795,-0.6590271,-0.77545166
115,0.80947876,-0.56747437,-0.97702026
116,0.76919556,-0.3767395,-1.0180664
117,0.88256836,-0.3678894,-0.95916748
118,0.63186646,-0.33691406,-0.87554932
119,0.73577881,-0.21972656,-0.98327637
120,0.68893433,-0.17501831,-1.0897827
