,a,b,c
0,-0.87341309,-1.3693237,1.3873291
1,-0.8152771,-1.3188171,1.4027405
2,-0.8366394,-1.4109802,1.3002014
3,-0.65795898,-1.375885,1.2901306
4,-0.53222656,-1.3934326,1.4555359
5,-0.55389404,-1.4343262,1.2747192
6,-0.50292969,-1.411438,1.360321
7,-0.59188843,-1.4112854,1.2576294
8,-0.51300049,-1.4863586,1.2919617
9,-0.42129517,-1.4785767,1.2660217
10,-0.31555176,-1.5740967,1.2068176
11,-0.27099609,-1.6265869,1.1199951
12,-0.23193359,-1.6184998,1.0942078
13,-0.22415161,-1.5594482,1.0539246
14,-0.23864746,-1.6064453,1.0948181
15,-0.16220093,-1.6267395,1.0964966
16,-0.021514893,-1.6899109,0.98770142
17,-0.077972412,-1.8226624,0.97930908
18,0.03112793,-1.8209839,0.84564209
19,0.065917969,-1.7263794,0.91583252
20,-0.01739502,-1.8496704,0.88577271
21,0.10025024,-1.5341187,0.84121704
22,0.16067505,-1.7732239,0.68603516
23,0.25634766,-1.625061,0.77423096
24,0.11566162,-1.6413879,0.59371948
25,0.38452148,-1.6221619,0.75042725
26,0.35491943,-1.8263245,0.82427978
27,0.33874512,-1.9215393,0.62286377
28,0.40664673,-1.7498779,0.57373047
29,0.46096802,-1.7260742,0.58959961
30,0.31692505,-1.6984558,0.5027771
31,0.37109375,-1.6001892,0.54885864
32,0.38574219,-1.5859985,0.32501221
33,0.5909729,-1.5896606,0.46020508
34,0.49789429,-1.6650391,0.34103394
35,0.49591064,-1.6850281,0.32653809
36,0.59432983,-1.5515137,0.26596069
37,0.57998657,-1.525116,0.26443481
38,0.6048584,-1.5744019,0.18096924
39,0.58517456,-1.469574,0.10604858
40,0.54016113,-1.3755798,0.10665894
41,0.572052,-1.4302063,-0.023651123
42,0.21820068,-1.2792969,-0.32196045
43,0.46325684,-1.3983154,-0.16342163
44,0.45120239,-1.3458252,-0.10986328
45,0.60440063,-1.2843323,-0.086517334
46,0.57861328,-1.2960815,-0.028076172
47,0.57189941,-1.1715698,-0.17593384
48,0.65948486,-1.1865234,-0.16769409
49,0.65673828,-1.151123,-0.22735596
50,0.69381714,-1.277771,-0.28442383
51,0.74005127,-1.1436462,-0.42175293
52,0.74401856,-1.1074829,-0.43792725
53,0.67382813,-1.1724854,-0.50308228
54,0.73135376,-0.89752197,-0.46386719
55,0.7019043,-1.2319946,-0.45776367
56,0.6842041,0.53375244,-0.53451538
57,0.81588745,-0.88180542,-0.40313721
58,0.67245483,-0.7913208,-0.56015015
59,0.67886353,-0.76522827,-0.47485352
60,0.62515259,-0.78948975,-0.51269531
61,0.50643921,-0.72158813,-0.52947998
62,0.61233521,-0.78308106,-0.66543579
63,0.65658569,-0.61019897,-0.67825317
64,0.60089111,-0.59890747,-1.1079407
65,0.44876099,-0.49942017,-0.70129394
66,0.56945801,-0.50170898,-0.70358276
67,0.51879883,-0.5531311,-0.85418701
68,0.4196167,-0.49804688,-0.69030762
69,0.42694092,-0.2243042,-0.68878174
70,0.32714844,-0.30700684,-0.62103272
71,0.390625,-0.19348145,-0.65673828
72,0.44555664,-0.16021728,-0.72875977
73,0.4006958,-0.11627197,-0.78582764
74,0.37979126,-0.023956299,-0.85205078
75,0.31860352,-0.021057129,-0.80108643
76,0.19042969,0.1159668,-0.76309204
77,0.1701355,0.11535645,-0.80947876
78,0.1045227,0.23406982,-0.72967529
79,-0.18554688,-0.24597168,-1.1212158
80,-0.071563721,-0.024719238,-0.74401856
81,-0.068359375,0.24047852,-0.94100952
82,0.10620117,0.28686523,-0.83969116
83,-0.030517578,0.26901245,-0.69915772
84,-0.069885254,0.35400391,-0.72921753
85,-0.049133301,0.3642273,-0.87127685
86,-0.12924194,0.32348633,-0.82336426
87,-0.14434815,0.34301758,-0.63476563
88,-0.19042969,0.49468994,-0.68267822
89,-0.39474487,0.39611816,-0.68557739
90,-0.35507202,0.42175293,-0.81771851
91,-0.30441284,0.44708252,-0.61187744
92,-0.65719604,0.047607422,-1.0842896
93,-0.75271606,0.13717651,-0.89477539
94,-0.53085327,0.39550781,-0.63018799
95,-0.42694092,0.52368164,-0.50231934
96,-0.84182739,0.55297852,-0.68405151
97,-0.66497803,0.64788818,-0.55023193
98,-0.63751221,0.53192139,-0.46020508
99,-0.79742432,0.67077637,-0.25756836
