,a,b,c
0,-2.2207642,0.61859131,-5.0
1,-2.2610474,0.53543091,-5.0
2,-2.2361755,0.30487061,-4.0249634
3,-2.2065735,0.47592163,-2.6655579
4,-2.0726013,0.35308838,-1.6326904
5,-2.0414734,0.12237549,-1.0348511
6,-2.225647,0.20477295,-0.63140869
7,-2.1170044,-0.050811768,-0.44036865
8,-2.1549988,-0.049743652,-0.1322937
9,-1.9309998,-0.17059326,-0.062255859
10,-2.1624756,-0.20050049,-0.12191773
11,-2.0849609,-0.2142334,-0.13519287
12,-2.0898438,-0.12268066,-0.10375977
13,-2.0231628,-0.099182129,-0.082397461
14,-2.1556091,-0.11886597,-0.070648193
15,-1.9529724,-0.32073975,-0.005187988
16,-2.1591187,-0.56671143,-0.13137817
17,-1.8655396,-0.45883179,-0.21087647
18,-2.0079041,-0.45059204,-0.2861023
19,-1.9749451,-0.65383911,-0.40985107
20,-1.8714905,-0.73181152,-0.65475464
21,-2.052002,-0.68984985,-0.50292969
22,-1.8273926,-0.69519043,-0.55297852
23,-1.7355347,-0.85128784,-0.80810547
24,-1.8615723,-0.94009399,-0.66864014
25,-1.834259,-1.073761,-0.88531494
26,-1.6755676,-1.091156,-0.84960938
27,-1.580658,-1.2463379,-1.1447144
28,-1.5997314,-1.4042664,-1.0539246
29,-1.3319397,-1.3743591,-1.1502075
30,-1.5278625,-1.5802002,-1.2988281
31,-1.3827515,-1.4511108,-1.315918
32,-1.4651489,-1.5129089,-1.4033508
33,-1.4590454,-1.7147827,-1.5480041
34,-1.3925171,-1.7773438,-1.6201782
35,-1.3702393,-1.7852783,-1.6444397
36,-1.2283325,-1.8370056,-1.7179871
37,-1.1473084,-1.815033,-1.7242432
38,-1.0980225,-1.8504334,-1.7970276
39,-1.0087585,-1.7048645,-1.7280579
40,-0.84915161,-1.7344666,-1.579895
41,-0.78216553,-1.7996216,-1.6148376
42,-0.82122803,-1.9111633,-1.7179871
43,-0.85250854,-1.9619751,-1.8045044
44,-0.66833496,-1.9920349,-2.0715332
45,-0.73776245,-2.1246338,-1.8814087
46,-0.49621582,-2.0530701,-2.1289063
47,-0.42236328,-2.0449829,-1.9067383
48,-0.43548584,-2.2009277,-2.0072937
49,-0.27511597,-2.1989441,-2.2483826
50,-0.18478394,-2.2480774,-2.0652771
51,-0.13748169,-2.2694397,-2.1270752
52,-0.10375977,-2.3173523,-2.3733521
53,-0.028533936,-2.2909546,-2.1691895
54,-0.016021729,-2.5704956,-2.4346924
55,0.079345703,-2.4334717,-2.2763062
56,0.12390137,-2.28302,-2.4888611
57,0.11367798,-2.464447,-2.2999573
58,0.11169434,-2.4334717,-2.5276184
59,0.28320313,-2.4725342,-2.3114014
60,0.30059814,-2.6109314,-2.3815918
61,0.33325195,-2.6741028,-2.6531982
62,0.51681519,-2.5970459,-2.6470947
63,0.57006836,-2.6509094,-2.6293945
64,0.52520752,-2.6202393,-2.6856995
65,0.55221558,-2.5650024,-2.6426697
66,0.46188355,-2.5071716,-2.6289368
67,0.60440063,-2.2918701,-2.6101685
68,0.64422607,-2.3301697,-2.3710632
69,0.66955566,-2.3075867,-2.2459412
70,0.73471069,-2.383728,-2.2621155
71,0.89630127,-2.3104858,-2.2590637
72,0.67749023,-2.3045349,-2.2694397
73,0.89492798,-2.1780396,-2.2241211
74,1.0748291,-2.2828674,-2.3188782
75,0.89309692,-2.2918701,-2.3303223
76,1.0351563,-2.1817017,-2.1942139
77,1.0169983,-2.1343994,-2.2808838
78,1.0203552,-2.1157837,-2.1560669
79,1.0441589,-2.0866394,-2.1188354
80,1.1561584,-1.9703674,-2.2370911
81,1.1338806,-1.920166,-1.9590759
82,1.262207,-2.2079468,-2.0422363
83,1.2030029,-2.0497131,-2.1809387
84,1.3084412,-2.0941162,-1.9937134
85,1.2585449,-2.0021057,-2.1627808
86,1.1552429,-1.8769836,-1.8893433
87,1.3008118,-1.8362427,-2.0068359
88,1.3330078,-1.7054749,-1.7608643
89,1.3842773,-1.7710876,-1.7526245
90,1.2445068,-1.62323,-1.7704773
91,1.1907959,-1.5133667,-1.763916
92,1.1795044,-1.4822388,-1.6950989
93,1.4047241,-1.5048218,-1.6174316
94,1.3302612,-1.4212036,-1.5800476
95,1.2197876,-1.4108276,-1.5415955
96,1.2800598,-1.2316895,-1.4297485
97,1.2519836,-1.1532593,-1.3685608
98,1.2637329,-0.93826294,-1.2588501
99,1.1459351,-0.93063354,-1.2307739
100,1.2316895,-0.84106445,-1.0476685
101,1.2350464,-0.84838867,-0.91415405
102,1.2315369,-0.7800293,-0.71426392
103,1.1315918,-0.76629639,-0.93200684
104,1.1930847,-0.6477356,-0.66009522
105,1.1291504,-0.650177,-0.79208374
106,1.2614441,-0.546875,-0.55633545
107,1.1549377,-0.48995972,-0.78735352
108,1.1390686,-0.45104981,-0.45150757
109,1.0276794,-0.44876099,-0.45059204
110,1.0522461,-0.26245117,-0.54794312
111,1.0235596,-0.25588989,-0.26596069
112,1.0012817,-0.18249512,-0.23895264
113,0.95092773,-0.065155029,-0.35751343
114,0.99334717,-0.36560059,-0.16921997
115,0.8732605,-0.36331177,-0.42221069
116,0.83404541,0.74707031,0.4107666
117,0.74127197,0.060119629,0.11657715
118,0.61065674,0.11154175,0.2053833
119,0.65567017,0.20309448,0.098114014
120,0.6652832,0.32180786,0.15792847
121,0.63308716,0.36682129,0.20599365
122,0.5154419,0.44540405,0.34622192
123,0.33676147,0.54458618,0.37857056
124,0.36773682,0.67932129,0.42037964
125,0.22705078,0.74615478,0.51254272
126,0.26290894,0.74432373,0.56777954
127,0.15075684,0.6791687,0.60729981
128,0.13458252,0.73181152,0.68405151
129,0.12771606,0.7484436,0.74462891
130,0.060424805,0.78796387,0.7144165
131,0.003204346,0.84838867,0.90332031
132,-0.16036987,0.8140564,0.92498779
133,-0.11917114,0.93902588,0.92971802
134,-0.16586304,1.0044861,0.77224731
135,-0.34606934,1.0369873,1.0472107
136,-0.37292481,1.0868835,0.94848633
