,a,b,c
0,-1.5171814,0.93231201,-5.0
1,-1.5840149,0.83724976,-5.0
2,-1.5794373,0.51147461,-3.6308289
3,-1.546936,0.70755005,-2.1948242
4,-1.6246033,1.9723511,-0.9425354
5,-1.7198181,0.89874268,-0.32608032
6,-1.7263794,0.86334228,0.07232666
7,-1.8493652,0.89431763,0.33065796
8,-1.8571472,0.85891724,0.51239014
9,-1.7980957,0.81237793,0.62667847
10,-1.8069458,0.84442139,0.70755005
11,-1.9067383,0.7611084,0.7270813
12,-1.7764282,0.83679199,0.74157715
13,-2.0046997,0.69244385,0.73928833
14,-1.8933105,0.74752808,0.72052002
15,-1.9619751,0.55938721,0.65933228
16,-2.1066284,0.53497315,0.58792114
17,-1.940918,0.64056397,0.62011719
18,-1.9726563,0.61004639,0.63659668
19,-2.0980835,0.61645508,0.60577393
20,-2.1118164,0.46035767,0.74157715
21,-1.9509888,0.3314209,0.61813354
22,-2.2177124,0.19195557,0.44296265
23,-2.0582581,0.33477783,0.41046143
24,-2.0173645,0.32333374,0.39001465
25,-1.9729614,0.33966064,0.38696289
26,-2.011261,-0.045166016,0.26062012
27,-2.0321655,0.11474609,0.20248413
28,-2.0237732,0.11291504,0.15838623
29,-2.0458984,0.14083862,0.15548706
30,-2.0677185,0.042572021,0.10620117
31,-1.8469238,-0.031585693,0.016174316
32,-1.9639587,-0.14007568,-0.049591064
33,-2.0108032,-0.12557983,-0.12878418
34,-2.0365906,-0.31524658,-0.20019531
35,-2.1110535,-0.23101807,-0.21392822
36,-1.6966248,-0.067901611,-0.17745972
37,-1.7816162,-0.33660889,-0.22705078
38,-1.7068481,-0.41351318,-0.28137207
39,-1.6213989,-0.31570435,-0.30029297
40,-2.0344543,-0.35598755,-0.33554077
41,-1.6645813,-0.47210693,-0.39245606
42,-1.6795349,-0.46524048,-0.42022705
43,-1.7478943,-0.55343628,-0.45288086
44,-1.8948364,-0.65002441,-0.50415039
45,-1.7472839,-0.58807373,-0.53939819
46,-1.4338684,-0.60821533,-0.57250977
47,-1.8753052,-0.68206787,-0.63705444
48,-1.4343262,-0.68115234,-0.60470581
49,-1.4274597,-0.81878662,-0.66650391
50,-1.5710449,-0.83984375,-0.72967529
51,-1.8186951,-1.3232422,-0.89447022
52,-1.3549805,-1.1090088,-0.94146728
53,-1.2113953,-1.2760925,-1.0443115
54,-1.7784119,-1.3871765,-1.151886
55,-1.5045166,-1.4317322,-1.242218
56,-1.6583252,-1.4614868,-1.2927246
57,-1.4141846,-1.4465332,-1.348877
58,-1.9398499,-1.5089416,-1.399231
59,-1.4065552,-1.7201233,-1.4865112
60,-1.5142822,-1.3969421,-1.4476013
61,-1.4431763,-1.4433289,-1.4825439
62,-1.1190796,-1.5478516,-1.5246582
63,-0.94039917,-1.4733887,-1.4996338
64,-1.184082,-1.4257813,-1.4810181
65,-1.0009766,-1.3998413,-1.4572144
66,-0.8404541,-1.5188599,-1.456604
67,-0.88897705,-1.5177917,-1.4718628
68,-0.87097168,-1.5289307,-1.5132141
69,-0.88607788,-1.5600586,-1.5428162
70,-0.88989258,-1.6514587,-1.5611267
71,-0.72235107,-1.7054749,-1.6140747
72,-0.66635132,-1.7016602,-1.6174316
73,-0.69900513,-1.7105103,-1.6558838
74,-0.53451538,-1.7150879,-1.6656494
75,-0.60348511,-1.5621948,-1.628418
76,-0.55587769,-1.9078064,-1.6949463
77,-0.42541504,-1.8463135,-1.7730713
78,-0.41870117,-1.8515015,-1.776886
79,-0.33752441,-1.7022705,-1.7333984
80,-0.4524231,-1.8621826,-1.7892456
81,-0.33996582,-1.8222046,-1.77948
82,-0.43151856,-1.9316101,-1.8319702
83,-0.25985718,-1.9812012,-1.8902588
84,-0.35446167,-2.0767212,-1.9546509
85,-0.20812988,-2.1205139,-2.0098877
86,-0.080718994,-1.9682312,-1.9943237
87,-0.06439209,-1.9941711,-1.9848633
88,0.014190674,-1.9961548,-1.9848633
89,-0.043640137,-1.9889832,-1.9981384
90,0.005340576,-1.9456482,-1.978302
91,0.034484863,-1.8547058,-1.9540405
92,0.026397705,-1.9993591,-1.9242859
93,0.1083374,-1.9676209,-2.0075989
94,0.056152344,-2.0343018,-1.8003845
95,0.18157959,-1.9602966,-1.8278503
96,0.1802063,-2.0463562,-1.8881226
97,0.24841309,-1.9970703,-1.9078064
98,0.30456543,-2.0507813,-1.940155
99,0.32775879,-2.0001221,-1.9390869
100,0.40344238,-1.9544983,-1.9100952
101,0.38604736,-2.0010376,-1.9345093
102,0.4133606,-2.0278931,-1.9451904
103,0.415802,-2.0639038,-1.9721985
104,0.2532959,-2.0484924,-2.0875549
105,0.4574585,-1.9197083,-2.0446777
106,0.57495117,-1.9749451,-2.0275879
107,0.57937622,-1.8777466,-1.987915
108,0.61645508,-2.0504761,-2.013855
109,0.57220459,-2.0266724,-2.0062256
110,0.64361572,-1.9696045,-2.0080566
111,0.76599121,-1.885376,-1.9699097
112,0.72235107,-1.8528748,-1.9345093
113,0.82870483,-1.8534851,-1.9139099
114,0.80078125,-1.8280029,-1.9061279
115,0.97686768,-1.8513489,-1.8913269
116,0.81695557,-1.8521118,-1.8847656
117,0.85021973,-1.7785645,-1.8678284
118,0.85205078,-1.8489075,-1.7503357
119,0.94116211,-1.8222046,-1.7681885
120,0.88943481,-1.7445374,-1.7681885
121,0.99349976,-1.7111206,-1.7541504
122,0.93582153,-1.7366028,-1.7472839
123,0.82229614,-1.5979004,-1.7132568
124,0.97671509,-1.5550232,-1.6569519
125,0.9677124,-1.5478516,-1.6085815
126,0.9173584,-1.4996338,-1.5711975
127,0.97076416,-1.5478516,-1.5589905
128,0.92132568,-1.5168762,-1.5588379
129,1.0394287,-1.5266418,-1.5307617
130,0.98678589,-1.4511108,-1.4506531
131,0.78796387,-1.4167786,-1.4570618
132,0.89874268,-1.3471985,-1.4085388
133,0.99884033,-1.3876343,-1.3812256
134,1.1035156,-1.3502502,-1.3601685
135,0.98587036,-1.3523865,-1.3650513
136,0.70953369,-1.2313843,-1.3397217
137,1.0797119,-1.2298584,-1.2882996
138,1.0015869,-1.1833191,-1.2445068
139,0.94009399,-1.1242676,-1.1991882
140,0.98922729,-1.114502,-1.1531067
141,0.85617065,-1.0527039,-1.1201477
142,0.92971802,-0.9954834,-1.063385
143,0.95962524,-0.91644287,-1.0058594
144,1.028595,-0.8682251,-0.95886231
145,1.0108948,-0.97488403,-0.95306397
146,0.91461182,-0.99624634,-0.95413208
147,0.83221435,-0.94161987,-0.96740723
148,0.78689575,-0.81466675,-0.95214844
