,a,b,c
0,-1.3162231,1.0656738,-5.0
1,-1.2937927,1.0095215,-5.0
2,-1.3653564,0.88775635,-3.6108398
3,-1.3717651,0.88012695,-2.1298218
4,-1.4541626,0.89111328,-1.1505127
5,-1.4645386,1.0116577,-0.44555664
6,-1.4549255,1.0545349,0.032806396
7,-1.5434265,0.93734741,0.31738281
8,-1.6093445,0.83938599,0.48645019
9,-1.5965271,0.88867188,0.63903809
10,-1.5386963,0.86471558,0.75088501
11,-1.7443848,0.82107544,0.84442139
12,-1.6630554,0.86730957,0.84609985
13,-1.7684937,0.68862915,0.81253052
14,-1.665802,0.78399658,0.82275391
15,-1.6461182,0.80932617,0.82839966
16,-1.5344238,0.88027954,0.85037231
17,-1.7379761,0.72875977,0.81497192
18,-1.8087769,0.68572998,0.77133179
19,-1.6879272,0.72280884,0.75622559
20,-1.6923523,0.61004639,0.71838379
21,-1.7541504,0.63598633,0.7144165
22,-1.6850281,0.64529419,0.71166992
23,-1.7735291,0.67398071,0.70159912
24,-1.6679382,0.68054199,0.70266724
25,-1.8560791,0.76538086,0.73242188
26,-1.7726135,0.58624268,0.67733765
27,-1.7657471,0.677948,0.69503784
28,-1.799469,0.65795898,0.68267822
29,-1.7105103,0.652771,0.66970825
30,-1.6638184,0.53359985,0.6173706
31,-1.7845154,0.48690796,0.56747437
32,-1.6851807,0.38528442,0.51559448
33,-1.7648315,0.36376953,0.44631958
34,-1.6740417,0.33401489,0.37261963
35,-1.806488,0.31341553,0.36499023
36,-1.71875,0.34500122,0.34500122
37,-1.6825867,0.30883789,0.30044556
38,-1.572113,0.26367188,0.28945923
39,-1.7355347,0.259552,0.26641846
40,-1.8789673,0.23330688,0.28106689
41,-1.7988586,0.039520264,0.19699097
42,-1.8325806,0.15151978,0.2079773
43,-1.8565369,-0.10070801,0.14190674
44,-1.8400574,-0.22857666,0.062103271
45,-1.9085693,-0.26123047,-0.087890625
46,-1.8869019,-0.26489258,-0.19714356
47,-1.8133545,-0.077514648,-0.17684937
48,-1.7855835,0.021362305,-0.13671875
49,-1.8347168,-0.096893311,-0.086517334
50,-1.6914368,-0.21087647,-0.12512207
51,-1.7376709,-0.11962891,-0.12527466
52,-1.7489624,-0.24932861,-0.13275147
53,-1.713562,-0.41427612,-0.20462036
54,-1.7230225,-0.36209106,-0.25726318
55,-1.7654419,-0.42892456,-0.3112793
56,-1.6786194,-0.49804688,-0.34759522
57,-1.7318726,-0.54138184,-0.39382935
58,-1.6001892,-0.54382324,-0.43670654
59,-1.5213013,-0.5545044,-0.47027588
60,-1.6746521,-0.84503174,-0.59906006
61,-1.5727234,-0.84091187,-0.652771
62,-1.5988159,-0.73165894,-0.71533203
63,-1.569519,-0.69610596,-0.69152832
64,-1.594696,-0.71487427,-0.69335938
65,-1.5054321,-0.64727783,-0.6489563
66,-1.4674377,-0.60958862,-0.65307617
67,-1.446991,-0.55603027,-0.60424805
68,-1.47995,-0.63110352,-0.63598633
69,-1.4533997,-0.71395874,-0.69061279
70,-1.5100098,-0.78979492,-0.72845459
71,-1.6552734,-0.87249756,-0.8039856
72,-1.6094971,-1.1839294,-0.93978882
73,-1.5896606,-1.2112427,-1.1528015
74,-1.4956665,-1.2103271,-1.1811829
75,-1.3659668,-1.0748291,-1.1526489
76,-1.4649963,-1.2519836,-1.1846924
77,-1.3815308,-1.3180542,-1.2332153
78,-1.3024902,-1.4453125,-1.2998962
79,-1.4447021,-1.4083862,-1.3684082
80,-1.4048767,-1.3677979,-1.4007568
81,-1.3340759,-1.6157532,-1.463623
82,-1.4494324,-1.5625,-1.5002441
83,-1.2376404,-1.4710999,-1.5074158
84,-1.164856,-1.3360596,-1.4588928
85,-1.0903931,-1.2936401,-1.4138794
86,-1.0713196,-1.3389587,-1.3883972
87,-1.1181641,-1.3525391,-1.4102173
88,-1.0464478,-1.3778687,-1.4050293
89,-1.0429382,-1.5667725,-1.5007019
