,a,b,c
0,1.1529541,-1.8362427,-5.0
1,1.1016846,-1.7269897,-5.0
2,1.1724854,-1.665802,-5.0
3,1.15448,-1.7524719,-4.1415405
4,1.1128235,-1.6926575,-3.334198
5,1.1853027,-1.6732788,-2.7780151
6,1.1112976,-1.5148926,-2.3710632
7,1.1244202,-1.6609192,-2.1304321
8,1.1853027,-1.8884277,-2.0135498
9,1.2915039,-1.4933777,-1.8089294
10,1.229248,-1.648407,-1.7546082
11,1.1753845,-1.4854431,-1.7007446
12,1.1190796,-1.3449097,-1.5750122
13,1.2280273,-1.2158203,-1.4416504
14,1.1956787,-0.36911011,-1.3206482
15,1.2426758,-0.91247559,-1.1885071
16,1.289978,-0.831604,-1.0595703
17,1.2159729,-0.84136963,-0.96618652
18,1.1807251,-0.70358276,-0.86578369
19,1.0795593,-0.7774353,-0.82244873
20,1.0910034,-0.66116333,-0.76538086
21,1.0513306,-0.68771362,-0.76217651
22,1.0848999,-0.58013916,-0.68054199
23,1.083374,-0.46783447,-0.41595459
24,1.0133362,-0.43670654,-0.42144775
25,0.8946228,-0.37231445,-0.41015625
26,0.93063354,-0.30670166,-0.37597656
27,0.93841553,-0.19851685,-0.31845093
28,0.88134766,-0.21224976,-0.29403686
29,0.81878662,-0.2053833,-0.26580811
30,0.71517944,-0.2015686,-0.24505615
31,0.78826904,-0.053253174,-0.16967773
32,0.68695068,-0.040893555,-0.13168335
33,0.5847168,-0.004272461,-0.13397217
34,0.5960083,-0.028839111,-0.10253906
35,0.57815552,0.14923096,-0.008087158
36,0.4574585,0.30639648,0.094451904
37,0.36270142,0.099487305,0.081634521
38,0.35186768,0.1600647,0.098876953
39,0.39138794,0.52093506,0.22537231
40,0.36071777,0.59692383,0.36376953
41,0.27862549,0.51376343,0.40527344
42,0.17227173,0.61447144,0.47805786
43,0.13763428,0.77987671,0.58242798
44,-0.009460449,0.75820923,0.62316894
45,-0.079193115,0.87707519,0.68496704
46,-0.090789795,0.95977783,0.76202393
47,-0.21759033,0.94833374,0.82855225
48,-0.30944824,0.97793579,0.89385986
49,-0.34301758,0.96588135,0.93185425
50,-0.3137207,0.99197388,0.96969604
51,-0.51773071,1.1175537,0.990448
52,-0.46905518,1.0505676,1.0072327
53,-0.50216675,1.0499573,1.0423279
54,-0.54763794,1.0949707,0.84136963
55,-0.60729981,1.1676025,0.96923828
56,-0.71853638,1.1425781,0.99822998
57,-0.7736206,1.0639954,1.0298157
58,-0.8215332,1.0743713,1.0391235
59,-0.8782959,1.1849976,1.0968018
60,-0.95443726,1.1047363,1.0899353
61,-0.99349976,1.151123,1.1044312
62,-1.1528015,1.0694885,1.1225891
63,-1.0583496,1.015625,1.1003113
64,-1.1352539,1.2277222,1.1425781
65,-1.2493896,0.96069336,1.0858154
66,-1.293335,1.1212158,1.0929871
67,-1.4030457,1.2086487,1.1035156
68,-1.4627075,1.0871887,1.1026001
69,-1.4219666,1.2397766,1.0340881
70,-1.5835571,1.3374329,1.1065674
71,-1.6426086,1.036377,1.0839844
72,-1.6369629,1.1239624,1.0890198
73,-1.68396,1.118927,1.0832214
74,-1.7445374,1.0171509,1.0572815
75,-1.7144775,1.0522461,1.0670471
76,-1.8051147,0.9413147,1.0006714
77,-1.829071,1.0308838,0.99700928
78,-1.9290161,0.93551636,1.1703491
79,-1.859436,0.97213745,1.1257935
80,-1.8772888,0.98800659,1.0739136
81,-1.9589233,1.0546875,1.0757446
82,-1.796875,0.94299316,1.0150146
83,-1.7901611,0.83236694,0.93460083
84,-1.8997192,0.64468384,0.82901001
85,-1.8493652,0.75683594,0.81314087
86,-1.9024658,0.69091797,0.77529907
87,-1.9204712,0.58334351,0.70007324
88,-1.8423462,0.67703247,0.68893433
89,-1.9580078,0.54550171,0.6237793
90,-1.9117737,0.31951904,0.53192139
91,-2.0405579,0.38909912,0.47683716
92,-1.9711304,0.31295776,0.35507202
93,-2.0535278,0.092163086,0.26382446
94,-1.9090271,0.11535645,0.18554688
95,-1.9747925,0.11627197,0.16494751
96,-1.9250488,-0.21209717,0.053863525
97,-1.9465637,-0.073242188,0.022735596
98,-2.0385742,0.00213623,-0.016479492
99,-1.8783569,-0.04196167,-0.040588379
100,-1.9432068,-0.21118164,-0.099487305
101,-1.9395447,-0.23040772,-0.14053345
102,-1.8812561,-0.40405273,-0.23300171
103,-1.8426514,-0.26046753,-0.2255249
104,-1.8544006,-0.36346436,-0.2684021
105,-1.9604492,-0.52719116,-0.34729004
106,-1.8869019,-0.47439575,-0.37689209
107,-1.8026733,-0.60791016,-0.42800903
108,-1.7410278,-0.60424805,-0.6199646
109,-1.6809082,-0.78125,-0.69320679
110,-1.7456055,-0.7119751,-0.69656372
111,-1.7938232,-0.82000732,-0.72601318
112,-1.6616821,-0.84335327,-0.77987671
113,-1.5415955,-0.87387085,-0.8001709
114,-1.5463257,-0.86349487,-0.809021
115,-1.4723206,-1.3082886,-0.96496582
116,-1.3569641,-1.1399841,-0.98968506
117,-1.4213562,-1.1126709,-1.0140991
118,-1.2561035,-1.3464355,-1.0864258
119,-1.1335754,-1.2515259,-1.1569214
120,-1.1451721,-1.4085388,-1.2384033
121,-1.1875916,-1.6992188,-1.37146
122,-1.0388184,-1.4981079,-1.4009094
123,-0.96069336,-1.5150452,-1.4393616
124,-0.90927124,-1.7193604,-1.5524292
125,-0.81298828,-1.6094971,-1.5977478
126,-0.79589844,-1.7829895,-1.653595
127,-0.73242188,-1.7590332,-1.6847229
128,-0.69656372,-1.8484497,-1.7471313
129,-0.58258057,-1.8650818,-1.7825317
130,-0.62347412,-2.0001221,-1.8545532
131,-0.46539307,-1.8861389,-1.8545532
132,-0.47363281,-1.9763184,-1.8930054
133,-0.43441772,-1.9320679,-1.8461609
134,-0.365448,-1.9671631,-1.7402649
135,-0.32089233,-1.9851685,-1.6993713
136,-0.32913208,-1.9917297,-1.7970276
137,-0.29602051,-2.1022034,-1.9023132
138,-0.19989014,-2.0861816,-1.9528198
139,-0.18386841,-2.1208191,-2.020874
140,-0.071716309,-2.0968628,-2.0336914
141,-0.076293945,-2.1206665,-2.0687866
142,0.040893555,-2.091217,-2.0748901
143,0.11947632,-2.1217346,-2.1000671
144,0.1499939,-2.1957397,-2.1455383
145,0.28442383,-2.1322632,-2.144165
146,0.39611816,-2.1069336,-2.1238708
147,0.3755188,-2.2467041,-2.1452332
148,0.3717041,-2.2254944,-2.1533203
149,0.49255371,-2.2113037,-2.1614075
150,0.59158325,-2.2561646,-2.1665955
151,0.63140869,-2.2167969,-2.1736145
152,0.71228027,-2.1803284,-2.1562195
153,0.69900513,-2.1592712,-2.149353
154,0.77911377,-2.0985413,-2.1220398
155,0.91186523,-2.0080566,-2.0429993
156,0.94223022,-1.9372559,-1.9822693
157,0.93673706,-2.0207214,-1.9761658
158,1.0775757,-1.9833374,-1.9451904
159,0.98632813,-2.0133972,-1.9487
160,1.1470032,-2.0429993,-1.9415283
161,0.89752197,-1.9345093,-1.9404602
162,1.0397339,-1.884613,-1.9177246
163,0.9967041,-1.971283,-2.1098328
164,1.0046387,-1.9606018,-2.0304871
165,1.0800171,-1.8315125,-1.9413757
166,0.99487305,-1.7362976,-1.8844604
167,1.0957336,-1.6821289,-1.8231201
168,1.0748291,-1.7993164,-1.8104553
169,1.0554504,-1.6409302,-1.7396545
170,1.1016846,-1.6670227,-1.7102051
171,1.0253906,-1.6996765,-1.700592
172,1.2036133,-1.5171814,-1.620636
173,1.1112976,-1.5782166,-1.594696
174,1.098175,-1.3671875,-1.4915466
175,1.1074829,-1.3276672,-1.4057922
176,1.1273193,-1.3171387,-1.3433838
177,1.1694336,-1.2716675,-1.2997437
178,1.1335754,-1.1538696,-1.212616
179,1.1746216,-1.257782,-1.2106323
180,1.2237549,-0.94177246,-0.91003418
181,1.1407471,-0.9312439,-0.91720581
182,1.0453796,-0.88073731,-0.90759277
183,1.1120605,-0.76843262,-0.86212158
184,1.0731506,-0.67352295,-0.8013916
185,1.0820007,-0.60379028,-0.73074341
186,1.0139465,-0.57723999,-0.69519043
187,0.99533081,-0.51147461,-0.64758301
188,0.91186523,-0.54748535,-0.60333252
189,0.9298706,-0.4560852,-0.39794922
190,0.89248657,-0.40939331,-0.39901733
191,0.96466065,-0.2571106,-0.3388977
192,0.87783813,-0.31448364,-0.33218384
193,0.84228516,-0.24047852,-0.29022217
194,0.76782227,-0.2355957,-0.26916504
195,0.77148438,-0.10681152,-0.20996094
196,0.7585144,-0.025024414,-0.13595581
197,0.50933838,-0.042266846,-0.10574341
198,0.56152344,0.047149658,-0.070495605
199,0.54382324,0.090026855,-0.033569336
200,0.49789429,0.13122559,0.003814697
201,0.3388977,0.16784668,0.042572021
202,0.39428711,0.24124145,0.103302
203,0.29800415,0.38772583,0.18875122
204,0.15319824,0.45837402,0.25268555
205,0.12435913,0.60882568,0.37445068
206,0.098419189,0.76904297,0.50964356
207,0.029754639,0.79345703,0.61080933
208,0.039825439,0.88088989,0.71090698
209,-0.11413574,0.86639404,0.76354981
210,-0.11566162,0.90576172,0.82366943
211,-0.1663208,0.96343994,0.87890625
212,-0.23925781,0.97595215,0.91369629
213,-0.37109375,0.97457886,0.93170166
214,-0.46813965,0.94055176,0.93688965
215,-0.34408569,1.0385132,0.95336914
216,-0.61386108,1.063385,0.98632813
217,-0.57250977,1.0551453,0.79940796
218,-0.56686401,1.0632324,0.89660644
219,-0.72692871,1.1520386,0.99533081
220,-0.58837891,1.0629272,1.0023499
221,-0.65658569,1.1468506,1.0707092
222,-0.73959351,1.1305237,1.0922241
223,-0.76690674,1.0913086,1.0816956
224,-0.93383789,1.0697937,1.0762024
225,-0.93719482,1.0293579,1.0948181
226,-1.0700989,0.99624634,1.0632324
227,-1.1196899,1.1294556,1.0903931
228,-1.1647034,1.0943604,1.0760498
229,-1.2417603,1.0133362,1.0385132
230,-1.2249756,1.1347961,1.0784912
231,-1.3114929,0.97625732,1.0371399
232,-1.4093018,0.92849731,0.99411011
233,-1.4509583,0.95855713,0.98648071
234,-1.5193176,0.67993164,0.82092285
235,-1.5403748,1.0328674,1.3087463
236,-1.5670776,0.98068237,1.1872864
237,-1.625824,1.0490417,1.1450195
238,-1.6952515,1.0826111,1.1090088
239,-1.7861938,1.0096741,1.0638428
240,-1.7974854,1.0751343,1.0516357
241,-1.8455505,0.92788696,1.0089111
242,-1.9204712,0.88577271,0.89447022
243,-1.9091797,0.85601807,0.94619751
244,-1.9113159,0.92178345,1.1000061
245,-1.7955017,1.033783,1.0890198
246,-1.8203735,0.92727661,1.038208
247,-1.7698669,0.9362793,1.0108948
248,-1.8913269,0.7800293,0.9223938
249,-1.9645691,0.68634033,0.82839966
250,-1.8125916,0.68054199,0.77911377
251,-1.8417358,0.60211182,0.72219849
252,-1.8354797,0.60058594,0.67428589
253,-1.8426514,0.46325684,0.57983398
254,-1.8603516,0.30334473,0.4574585
255,-1.932373,0.28884888,0.36865234
256,-1.9410706,0.040588379,0.24688721
257,-1.8748474,0.08895874,0.19348145
258,-1.8836975,0.034484863,0.13626099
259,-1.9165039,0.023956299,0.10101318
260,-1.9021606,0.051574707,0.070953369
261,-1.8783569,-0.3427124,-0.082855225
262,-1.9450378,-0.24841309,-0.13305664
263,-1.7308044,-0.22994995,-0.16174316
264,-1.9458008,-0.37734985,-0.20782471
265,-1.8951416,-0.24993897,-0.22506714
266,-1.7858887,-0.36987305,-0.27099609
267,-1.7814636,-0.44830322,-0.33340454
268,-1.7695618,-0.55953979,-0.40405273
269,-1.6825867,-0.54428101,-0.44921875
270,-1.6850281,-0.51620483,-0.46264648
271,-1.5953064,-0.67245483,-0.64819336
272,-1.6207886,-0.67687988,-0.7119751
273,-1.5959167,-0.82473755,-0.73852539
274,-1.5208435,-0.77423096,-0.73730469
