,type,freq,load,K,S,mean_ad,median_ad
48,48.0,55.0,50.0,-1.4949036437192071,0.011900583423907898,0.9253403533184182,1.03698731
49,49.0,55.0,50.0,-1.4426810023922945,0.048569199319657995,0.9803016197767579,1.0925293
50,50.0,55.0,50.0,-1.4051283117739817,-0.01996043031902617,0.8874776685530221,0.96572876
51,51.0,55.0,100.0,-1.4816624797196092,0.010991661361678527,1.0332145530927614,1.1519623049999999
52,52.0,55.0,100.0,-1.444264359885117,0.04071858735990378,1.1085845532692544,1.2284851199999998
53,53.0,55.0,100.0,-1.4108826816986733,-0.015166001624582462,0.994046867380371,1.07803344
54,54.0,60.0,0.0,-1.5032161629756486,0.017720563940036183,0.7383734303292496,0.8077240050000001
55,55.0,60.0,0.0,-1.4271800565590658,0.021661890645855098,0.7708967826503644,0.8340454500000001
56,56.0,60.0,0.0,-1.3827668693349897,-0.021231010736179133,0.7167578161426997,0.76889038
57,57.0,60.0,50.0,-1.490842674712738,0.01111312351179187,0.9267265771033226,1.07360839
58,58.0,60.0,50.0,-1.4584083411918911,0.026253621881789084,0.9897015645559499,1.1457824699999999
59,59.0,60.0,50.0,-1.4285985692195893,-0.006988401201196603,0.8985165968827589,1.01989747
60,60.0,60.0,100.0,-1.47851841788333,0.010421151118390084,1.007376585688959,1.1566162100000001
61,61.0,60.0,100.0,-1.4566799398946046,0.020339022089292787,1.0812080777184883,1.2400817599999998
62,62.0,60.0,100.0,-1.4301661519054718,-0.004109493260692093,0.9771953631074382,1.102371215
