,a,b,c
0,-1.8911743,0.29815674,-5.0
1,-1.9888306,0.075531006,-5.0
2,-1.980896,0.08682251,-4.3797302
3,-1.8367004,0.019683838,-2.8877258
4,-1.7163086,0.057373047,-1.9088745
5,-1.8354797,0.0,-1.0836792
6,-1.7720032,-0.18310547,-0.74111938
7,-1.895752,-0.068969727,-0.47561645
8,-1.9158936,-0.13015747,-0.39550781
9,-1.8499756,-0.18875122,-0.33935547
10,-1.7114258,-0.47683716,-0.36590576
11,-1.7385864,-0.37002564,-0.36346436
12,-1.7237854,-0.5039978,-0.41503906
13,-1.8106079,-0.47714233,-0.43106079
14,-1.7657471,-0.61767578,-0.50704956
15,-1.7112732,-0.37307739,-0.46356201
16,-1.8435669,-0.46707153,-0.44708252
17,-1.6918945,-0.56030273,-0.46005249
18,-1.6046143,-0.599823,-0.48095703
19,-1.6519165,-0.71792603,-0.54428101
20,-1.8902588,-0.77438354,-0.57983398
21,-1.6387939,-0.75820923,-0.63934326
22,-1.6888428,-0.91644287,-0.70251465
23,-1.5130615,-0.9576416,-0.80749512
24,-1.4920044,-1.0700989,-0.79559326
25,-1.3500977,-1.0185242,-0.8921814
26,-1.3002014,-1.0342407,-0.90423584
27,-1.1433411,-1.1759949,-0.98251343
28,-1.3334656,-1.25,-1.1161804
29,-1.1706543,-1.2580872,-1.1804199
30,-1.2176514,-1.0928345,-1.1418152
31,-1.2863159,-1.3639832,-1.2097168
32,-1.0861206,-1.3192749,-1.2492371
33,-1.0443115,-1.4683533,-1.3160706
34,-1.0836792,-1.4425659,-1.3578796
35,-0.8934021,-1.46698,-1.378479
36,-1.0124207,-1.5077209,-1.3948059
37,-0.95657349,-1.5725708,-1.4431763
38,-0.85723877,-1.6867065,-1.5258789
39,-0.80886841,-1.5792847,-1.5280151
40,-0.8303833,-1.6493225,-1.5853882
41,-0.85510254,-1.6571045,-1.6181946
42,-0.85540772,-1.8025208,-1.6903687
43,-0.68954468,-1.7195129,-1.4935303
44,-0.67428589,-1.8501282,-1.5460205
45,-0.50262451,-1.7747498,-1.5393066
46,-0.56808472,-1.794281,-1.5667725
47,-0.41259766,-1.842041,-1.5786743
48,-0.38955689,-1.9137573,-1.6421509
49,-0.35232544,-1.8786621,-1.6767883
50,-0.27435303,-1.8785095,-1.7001343
51,-0.20843506,-1.7391968,-1.6186523
52,-0.31799316,-1.9340515,-1.6503906
53,-0.16540527,-1.7993164,-1.7176819
54,-0.28045654,-1.9892883,-1.8045044
55,-0.057373047,-1.9406128,-1.9017029
56,-0.023345947,-1.9950867,-1.9023132
57,0.10910034,-2.0370483,-1.9325256
58,0.009460449,-1.9862366,-1.9389343
