,a,b,c
0,-0.59875488,0.87097168,-5.0
1,-0.39382935,0.93536377,-5.0
2,-0.69076538,0.92803955,-3.6228943
3,-0.50872803,0.95870972,-2.0678711
4,-0.5418396,0.98098755,-1.0322571
5,-0.70205688,0.96221924,-0.33370972
6,-0.71166992,0.92544556,0.10620117
7,-0.7421875,0.95779419,0.44494629
8,-0.86288452,1.0585022,0.68481445
9,-0.94482422,1.0369873,0.82427978
10,-0.89950562,1.1177063,0.94818115
11,-1.0348511,1.158905,1.0202026
12,-1.0281372,1.1192322,1.0539246
13,-1.4231873,1.1483765,1.0632324
14,-1.9081116,0.70404053,0.92636108
15,-1.0058594,1.0173035,1.0032654
16,-1.1715698,0.92254639,0.97106934
17,-1.1515808,1.0049438,1.0017395
18,-1.2974548,1.0244751,1.0220337
19,-1.3273621,0.97808838,1.0195923
20,-1.3873291,1.0620117,1.031189
21,-1.3684082,0.92132568,1.0119629
22,-1.366272,0.99426269,0.9223938
23,-1.5003967,0.96557617,0.9336853
24,-1.4311218,0.9538269,0.94696045
25,-1.5679932,0.89492798,0.92880249
26,-1.5951538,0.9576416,0.94177246
27,-1.6593933,0.8908081,0.9324646
28,-1.6801453,0.98815918,0.95626831
29,-1.7134094,0.88195801,0.94696045
30,-1.6694641,0.87615967,0.92086792
31,-1.7405701,0.83007813,0.90148926
32,-1.6459656,0.88088989,1.0601807
33,-1.7630005,0.82458496,0.99960327
34,-1.8417358,0.73318481,0.91003418
35,-1.8777466,0.71868897,0.87402344
36,-1.8099976,0.80200195,0.86425781
37,-1.9430542,0.65109253,0.79772949
38,-1.9613647,0.60241699,0.75149536
39,-1.8911743,0.60791016,0.70571899
40,-1.8563843,0.5418396,0.67443848
41,-1.8286133,0.55786133,0.65444946
42,-1.8766785,0.572052,0.64025879
43,-1.8766785,0.38009644,0.55328369
44,-1.9515991,0.45379639,0.49041748
45,-1.9058228,0.41030884,0.47103882
46,-1.8453979,0.47836304,0.46295166
47,-1.9847107,0.23681641,0.37765503
48,-1.8914795,0.23727417,0.35980225
49,-1.9224548,0.16296387,0.27984619
50,-1.7723084,0.15304565,0.21362305
51,-1.8371582,-0.02532959,0.12817383
52,-1.8295288,-0.070953369,0.06439209
53,-1.9488525,-0.11795044,-0.002746582
54,-1.9233704,-0.079040527,-0.019836426
55,-1.8637085,-0.13000488,-0.065765381
56,-1.6418457,-0.085449219,-0.076904297
57,-1.6448975,-0.17242432,-0.24047852
58,-1.8798828,-0.23147583,-0.27282715
59,-1.7037964,-0.23330688,-0.27511597
60,-1.7385864,-0.36254883,-0.30349731
61,-1.5933228,-0.52978516,-0.36499023
62,-1.703186,-0.52093506,-0.41931152
63,-1.5612793,-0.58120728,-0.48461914
64,-1.6377258,-0.70404053,-0.61035156
65,-1.6972351,-0.73669434,-0.66711426
66,-1.5818787,-0.90209961,-0.78414917
67,-1.7247009,-0.9487915,-0.83648682
68,-1.7056274,-1.0063171,-0.87203979
69,-1.5194702,-0.80841065,-0.83953857
70,-1.4770508,-1.1727905,-0.93154907
71,-1.476593,-1.0014343,-0.97320557
72,-1.4160156,-1.1679077,-1.0301209
73,-1.4109802,-1.1936951,-1.0993958
74,-1.3531494,-1.239624,-1.1679077
75,-1.3214111,-1.2159729,-1.1720276
76,-1.3223267,-1.3757324,-1.2228394
77,-1.1660767,-1.2896729,-1.2445068
78,-1.1846924,-1.2626648,-1.2432861
79,-1.2194824,-1.2611389,-1.2442017
80,-1.1553955,-1.8005371,-1.4050293
81,-1.1468506,-1.6870117,-1.4770508
82,-1.0339355,-1.6358948,-1.5367126
83,-1.0464478,-1.5026855,-1.608429
84,-0.962677,-1.6757202,-1.6566467
85,-0.9475708,-1.9052124,-1.7254639
86,-0.6942749,-1.7228699,-1.7323303
87,-0.68939209,-1.8295288,-1.7689514
88,-0.57479858,-1.8592834,-1.7953491
89,-0.48049927,-1.8341064,-1.8000793
90,-0.45654297,-1.9793701,-1.8600464
91,-0.34011841,-1.9604492,-1.9104004
92,-0.39108276,-2.0031738,-1.9973755
93,-0.30914307,-1.9606018,-1.8144226
94,-0.26779175,-2.0213318,-1.8920898
95,-0.2835083,-2.1020508,-1.9711304
96,-0.14221191,-1.9889832,-1.9726563
97,-0.076293945,-1.958313,-1.9676209
98,-0.105896,-2.10495,-2.0161438
99,0.06362915,-2.0220947,-2.0080566
100,0.070953369,-2.019043,-2.0262146
101,0.15274048,-1.97052,-2.0004272
102,0.11657715,-2.0193481,-2.0068359
103,0.13854981,-2.0309448,-2.011261
104,0.18508911,-1.9844055,-2.0092773
