,a,b,c
0,-1.2216187,-0.92269897,-5.0
1,-1.1827087,-1.1853027,-5.0
2,-1.0993958,-1.0339355,-4.8773193
3,-1.0517883,-1.1157227,-3.5910034
4,-0.93719482,-1.1509705,-2.7406311
5,-0.93704224,-1.040802,-2.1234131
6,-0.93399048,-1.1618042,-1.7515564
7,-0.92590332,-1.0935974,-1.5156555
8,-0.93399048,-1.1613464,-1.3800049
9,-0.84213257,-1.3363647,-1.3502502
10,-0.8203125,-1.2930298,-1.3381958
11,-0.75866699,-1.2733459,-1.3119507
12,-0.74386597,-1.2319946,-1.2750244
13,-0.69412231,-1.3256836,-1.2995911
14,-0.68237305,-1.3983154,-1.3287354
15,-0.50888062,-1.509552,-1.2156677
16,-0.4624939,-1.4793396,-1.2840271
17,-0.47302246,-1.5867615,-1.3867188
18,-0.41656494,-1.5858459,-1.4382935
19,-0.46676636,-1.653595,-1.5074158
20,-0.41107178,-1.6320801,-1.5330505
21,-0.36117554,-1.6189575,-1.5400696
22,-0.44921875,-1.6819763,-1.5829468
23,-0.35400391,-1.6996765,-1.6125488
24,-0.34439087,-1.8132019,-1.6784668
25,-0.27252197,-1.7738342,-1.7016602
26,-0.23605347,-1.7156982,-1.6996765
27,-0.24856567,-1.8478394,-1.7506409
28,-0.20599365,-1.8182373,-1.7782593
29,-0.24459839,-1.8896484,-1.8235779
30,-0.16571045,-1.7778015,-1.8130493
31,-0.19348145,-1.8484497,-1.8307495
32,-0.07522583,-1.7224121,-1.7973328
33,0.045776367,-1.6439819,-1.7190552
34,0.08026123,-1.5925598,-1.6676331
35,0.029907227,-1.6139221,-1.8493652
36,0.090942383,-1.6137695,-1.7950439
37,0.041809082,-1.7247009,-1.7909241
38,0.093994141,-1.7805481,-1.7825317
39,0.11535645,-1.8901062,-1.8145752
40,0.20370483,-1.7999268,-1.803894
41,0.23605347,-1.8629456,-1.8270874
42,0.2734375,-1.7602539,-1.8014526
43,0.26275635,-1.7906189,-1.7909241
44,0.24749756,-1.672821,-1.7654419
45,0.37124634,-1.6030884,-1.703186
46,0.30517578,-1.6708374,-1.696167
47,0.36682129,-1.6386414,-1.6772461
48,0.45593262,-1.6680908,-1.6705322
49,0.49621582,-1.7149353,-1.6758728
50,0.61309815,-1.6030884,-1.6699219
51,0.60134888,-1.6445923,-1.6574097
52,0.77514648,-1.5499878,-1.6096497
53,0.62011719,-1.572113,-1.5750122
54,0.59143066,-1.5777588,-1.5551758
55,0.75119019,-1.4421082,-1.4984131
56,0.62744141,-1.4581299,-1.4987183
57,0.68054199,-1.4326477,-1.4674377
58,0.68862915,-1.4785767,-1.4572144
59,0.72509766,-1.4750671,-1.4720154
60,0.69351196,-1.4749146,-1.4660645
61,0.64544678,-1.4517212,-1.4756775
62,0.66818237,-1.3401794,-1.4175415
63,0.78216553,-1.4923096,-1.4599609
64,0.69885254,-1.4654541,-1.4416504
65,0.64849853,-1.245575,-1.3739014
66,0.68557739,-1.204071,-1.3253784
67,0.68603516,-1.2010193,-1.2606812
68,0.52474976,-1.4968872,-1.3546753
69,0.8114624,-0.78582764,-1.3496399
70,0.51330566,-1.2232971,-1.4129639
71,0.7925415,-1.0528564,-1.2617493
72,0.81130981,-1.1227417,-1.2042236
73,0.8039856,-0.90164185,-1.0800171
74,0.80535889,-0.97381592,-1.0505676
75,0.68527222,-0.92773438,-1.0301209
76,0.69122315,-0.88912964,-0.97045898
77,0.68161011,-0.70877075,-0.88745117
78,0.67062378,-0.64086914,-0.82550049
79,0.66146851,-0.61141968,-0.77270508
80,0.6993103,-0.60241699,-0.73059082
81,0.63934326,-0.72509766,-0.7144165
82,0.68862915,-0.67703247,-0.53207397
83,0.55541992,-0.69671631,-0.55618286
84,0.56518555,-0.56335449,-0.55023193
85,0.57632446,-0.5090332,-0.54656982
86,0.62789917,-0.38833618,-0.49377441
87,0.62438965,-0.38223267,-0.44342041
88,0.63873291,-0.28274536,-0.39093018
89,0.59158325,-0.33355713,-0.36773682
90,0.49606323,-0.35064697,-0.36346436
91,0.52307129,-0.26641846,-0.33615112
92,0.54382324,-0.24765015,-0.3125
93,0.5758667,-0.13580322,-0.26367188
94,0.60577393,-0.10940552,-0.22369385
95,0.5581665,-0.15533447,-0.21224976
96,0.61218262,-0.18737793,-0.20996094
97,0.3565979,-0.23391724,-0.22201538
98,0.2935791,-0.1965332,-0.21774292
99,0.32577515,-0.044250488,-0.15991211
100,0.33157349,0.12954712,-0.055999756
101,0.22918701,0.032653809,-0.23651123
102,0.22735596,0.10742188,-0.057220459
103,-0.18127441,-0.27084351,-0.1473999
104,-0.073394775,-0.053863525,-0.13320923
105,-0.31082153,-0.26504517,-0.19836426
106,-0.4234314,-0.11230469,-0.18432617
107,0.042877197,0.2684021,-0.042572021
108,-0.15441895,0.022735596,-0.018157959
109,-0.47698975,0.09262085,0.017089844
110,-0.030059814,0.31066894,0.11703491
111,-0.092468262,0.42510986,0.20263672
112,-0.2217102,0.52246094,0.28259277
113,-0.21682739,0.62545776,0.40359497
114,-0.48828125,0.37872314,0.3717041
115,-0.38131714,-0.006561279,0.16540527
116,-0.34790039,0.32913208,0.20843506
117,-0.55267334,0.41870117,0.30944824
118,-0.44494629,0.43426514,0.3678894
119,-0.63644409,0.5557251,0.43441772
120,-0.77957153,0.52703857,0.4675293
121,-0.65856934,0.48309326,0.46691894
122,-0.60531616,0.63491821,0.53283691
123,-0.83129883,0.4598999,0.51086426
124,-0.64483643,0.21682739,0.37231445
125,-0.6137085,0.46890259,0.41732788
126,-0.67718506,0.48095703,0.43823242
127,-0.65505981,0.45425415,0.47042847
128,-0.48675537,0.49636841,0.46951294
129,-0.98678589,0.60913086,0.53405762
130,-0.89935303,0.65673828,0.59814453
131,-0.87982178,0.65551758,0.61172485
132,-0.89431763,0.7131958,0.65353394
133,-0.84960938,0.6149292,0.64224243
134,-0.89538574,0.66421509,0.64987183
135,-0.89447022,0.66238403,0.65765381
136,-1.0414124,0.65673828,0.63217163
137,-1.0934448,0.67047119,0.71731567
138,-1.0220337,0.68389893,0.69000244
139,-1.0783386,0.81253052,0.74386597
140,-1.194458,0.51391602,0.66986084
141,-1.0508728,0.62271118,0.650177
142,-1.0722351,0.74920654,0.6829834
143,-1.1408997,0.78445435,0.70037842
144,-1.1993408,0.79345703,0.72631836
145,-1.2982178,0.75256348,0.73242188
146,-1.3201904,0.70480347,0.73348999
147,-1.3261414,0.76782227,0.74539185
148,-1.3938904,0.68725586,0.76812744
149,-1.386261,0.71151733,0.91964722
150,-1.4758301,0.63552856,0.89401245
151,-1.4457703,0.69580078,0.83831787
152,-1.4428711,0.67047119,0.79025269
